id	source	target	edge_status	exact_scope	independent_open_requirement
J01	foundational_reciprocal_pair	additive_coframe_depth_characters	DERIVED_CHART_STRUCTURE	registered_triangular_coframe_group	none_within_chart
J02	coframe_depth_character	frame_independent_reciprocal_geometric_object	OPEN	local_Lorentz_equivalence	equivariant_reduction_section_or_intrinsic_definition
J03	conditional_conformal_Lorentzian_metric	celestial_null_direction_S2_fiber	DERIVED_CONDITIONAL	projectivized_future_null_cone	none_for_fiber_only
J04	celestial_S2_fiber	physical_global_section_or_carrier_map	OPEN	associated_bundle	section_transport_trivialization_or_intrinsic_bundle_observable
J05	unframed_section_components	frame_independent_Hopf_charge	OBSTRUCTED_AS_BARE_COMPONENT_CLAIM	winding_local_spatial_frame	physical_connection_trivialization_or_intrinsic_reformulation
J06	reciprocal_diagonal_angular_character	Hopf_weight_and_latitude	EXACT_CONDITIONAL_CHART_CROSSWALK	supplied_toric_phase_and_subgroup	physical_descent_and_global_inputs
J07	supplied_toric_fibration_caps_periods_orientation	global_integer_Hopf_class	UNIQUE_CONDITIONAL	registered_toric_closure_theorem	native_selection_of_global_inputs
J08	completion_atlas	one_realized_finite_cell_quotient	OPEN	all_registered_completion_classes	selection_or_realization_relation
J09	complete_admissible_geometry_class	physically_realized_solution	OPEN_NO_OPERATION	registered_bootstrap_wording	typed_domain_codomain_operation_acceptance_and_uniqueness
J10	selected_global_geometry	metric_deformation_or_action	OPEN	global_atlas_stage_gate	native_variation_domain_and_dynamical_rule
J11	conditional_internal_round_S2_carrier_and_L2_plus_L4_action	finite_box_static_stable_Hopfion	SETTLED_CONDITIONAL	audited_no_null_functional_and_finite_box	none_within_stated_static_premises
J12	conditional_stable_Hopfion	native_matter_and_unconditional_mass	OPEN	complete_native_theory	carrier_emergence_source_action_scale_and_time_live_law
