id	claim	status	scope
S01	registered_reciprocal_skeleton	REGISTERED_FOUNDATIONAL	exact_C0_C1
S02	chart_depth_character_is_already_physical_phi_owner	OPEN	blocked_by_local_frame_equivalence_and_subbundle_ownership
S03	celestial_null_direction_S2_fiber	DERIVED_CONDITIONAL	conditional_4D_conformal_Lorentzian_readout
S04	fiber_selects_section_or_round_internal_target	OPEN	no_selector_transport_action_or_boundary_completion
S05	bare_component_Hopf_charge_is_frame_independent	REFUTED_IN_REGISTERED_SCOPE	exact_winding_frame_counterexample
S06	angular_depth_Hopf_weight_latitude_crosswalk	EXACT_CONDITIONAL_CHART_LEVEL	reciprocal_diagonal_angular_subgroup_and_supplied_toric_readout
S07	registered_rules_select_global_completion	OPEN	completion_classes_catalogued_not_ranked
S08	registered_bootstrap_is_a_complete_realization_operator	OPEN	working_admissibility_language_lacks_operation_and_codomain
S09	physical_descent_global_completion_and_realization_are_identical_join	NOT_DERIVED	different_mathematical_types_and_independent_missing_inputs
S10	one_future_native_law_could_close_multiple_joins	OPEN_POSSIBILITY	no_current_law_supplies_all_edges
S11	metric_native_Hopf_carrier_emergence	OPEN	fiber_crosswalk_and_conditional_toric_bundle_do_not_select_carrier
S12	complete_action_source_boundary_charge_scale_and_mass	OPEN	final_native_action_adjudication
S13	unresolved_metric_representation_join	LOCALIZED	frame_independent_physical_configuration_object_type_distinct_from_realization_operator
S14	next_bounded_metric_representation_question_after_source_only_realization_audit	OPEN_BOUNDED	whether_complete_metric_defines_intrinsic_reduction_section_or_bundle_invariant_without_frame_choice
