catch_id	result	scope
M01_SOURCE_COUNT	PASS	SEMANTIC_MUTATION
M02_DROP_LAYER	PASS	SEMANTIC_MUTATION
M03_DUPLICATE_JOIN	PASS	SEMANTIC_MUTATION
M04_DROP_BOOTSTRAP	PASS	SEMANTIC_MUTATION
M05_DROP_STATUS	PASS	SEMANTIC_MUTATION
M06_NEW_PREMISE	PASS	SEMANTIC_MUTATION
M07_PROMOTE_CHART	PASS	SEMANTIC_MUTATION
M08_SELECT_NULL_RAY	PASS	SEMANTIC_MUTATION
M09_FRAME_HOPF	PASS	SEMANTIC_MUTATION
M10_SELECT_COMPLETION	PASS	SEMANTIC_MUTATION
M11_BOOTSTRAP_OPERATION	PASS	SEMANTIC_MUTATION
M12_BOOTSTRAP_UNIQUENESS	PASS	SEMANTIC_MUTATION
M13_REALIZATION	PASS	SEMANTIC_MUTATION
M14_CARRIER_EMERGENCE	PASS	SEMANTIC_MUTATION
M15_NATIVE_MATTER	PASS	SEMANTIC_MUTATION
M16_COLLAPSE_LAYERS	PASS	SEMANTIC_MUTATION
M17_UNIFY_OBJECT	PASS	SEMANTIC_MUTATION
M18_UNIFY_REALIZATION	PASS	SEMANTIC_MUTATION
M19_END_TO_END	PASS	SEMANTIC_MUTATION
M20_MAXIMUM	PASS	SEMANTIC_MUTATION
M21_STRICT_ORDER	PASS	SEMANTIC_MUTATION
