id	layer	object	transformation_type	survival	scope	missing
L01	FOUNDATIONAL_RELATION	positional_dilation_and_reciprocal_clock_ruler_pair	FOUNDING_RELATION	REGISTERED_FOUNDATIONAL	exact_C0_C1_only	physical_complete_configuration_owner
L02	COFRAME_CHART	two_additive_upper_triangular_depth_characters	COFRAME_COMPONENT_CHARACTER	DERIVED_CHART_STRUCTURE	complete_registered_triangular_chart_group	frame_independent_ownership_and_scalar_phi_identification
L03	LOCAL_METRIC	conformal_causal_structure_and_celestial_null_direction_fiber	ASSOCIATED_PROJECTIVE_NULL_BUNDLE	DERIVED_CONDITIONAL	conditional_4D_Lorentzian_readout	selected_section_round_target_transport_and_action
L04	LOCAL_METRIC	distinguished_reciprocal_rank_two_plane_or_projector	TANGENT_SUBBUNDLE_REDUCTION	OPEN	full_connected_local_stabilizer	registered_reduction_or_equivariant_intrinsic_definition
L05	COFRAME_TO_TOPOLOGY	component_Hopf_number_of_unframed_null_or_tangent_section	FRAME_COMPONENT_MAP	NOT_FRAME_INVARIANT	exact_winding_frame_counterexample	physical_trivialization_connection_or_intrinsic_bundle_invariant
L06	COFRAME_TO_TOPOLOGY	angular_depth_to_Hopf_weight_and_latitude_crosswalk	CHART_LEVEL_CONDITIONAL_CROSSWALK	EXACT_CONDITIONAL	reciprocal_diagonal_angular_subgroup_plus_supplied_toric_readout	frame_independent_owner_phase_global_completion_and_carrier
L07	GLOBAL_COMPLETION	toric_connection_and_integer_class	GLOBAL_BUNDLE_DATA	UNIQUE_CONDITIONAL	supplied_transverse_torus_primitive_caps_periods_orientation	native_selection_of_those_global_inputs
L08	GLOBAL_COMPLETION	finite_cell_completion_class	COMPLETED_GEOMETRY_TOPOLOGY	CATALOGUED_NOT_SELECTED	registered_completion_atlas	native_quotient_seam_cap_or_boundary_selection
L09	REALIZATION	bootstrap_admissibility_language	ON_SHELL_GLOBAL_ACCEPTANCE_HYPOTHESIS	WORKING	registered_universe_self_consistency_and_density_window_language	typed_operation_response_boundary_problem_and_uniqueness
L10	REALIZATION	map_from_admissible_complete_geometries_to_realized_solution	REALIZATION_OPERATOR_OR_RELATION	OPEN	audited_registered_sources	operator_relation_functional_or_fixed_point_with_domain_codomain
L11	DYNAMICS_AND_MATTER	static_finite_box_Hopfion_in_no_null_L2_plus_L4_carrier	CONDITIONAL_CARRIER_SOLUTION	SETTLED_WITHIN_STATED_PREMISES	positive_round_S2_carrier_finite_box_corrected_functional	native_carrier_emergence_time_live_persistence_and_unconditional_mass
L12	DYNAMICS_AND_MATTER	complete_native_action_source_boundary_charge_and_mass	PHYSICAL_DYNAMICAL_COMPLETION	OPEN	final_A_B_C_adjudication	native_action_matter_source_boundary_completion_and_bridge
