object	status	role	forbidden_promotion
completed reciprocal pair kernel	WORKING_FOUNDATIONAL_CLARIFICATION_PLUS_DERIVED_CONDITIONAL	upstream scalar typing	canon or physical history selector
primary central static spherical metric	CONDITIONAL_CONFIGURATION_SLICE	bounded metric-to-observable interface	complete UDT universe
static frequency relation Z=exp(phi_s-phi_o)	DERIVED_CONDITIONAL_ON_STATIC_QUERY	maps release redshift slot to pair depth	universal redshift law for all queries
central spherical screen d_A=R	DERIVED_CONDITIONAL_ON_SUPPLIED_NULL_QUERY	areal response	universal nonspherical screen
transparent transfer eta=1 epsilon=1/Z	IMPORTED_CONDITIONAL	temporary d_L=Z^2 R bridge	native UDT electromagnetism or radiative transfer
Pantheon+ m_b_corr zCMB covariance	OBSERVED_PROCESSED_CONDITIONAL	first release state projection	raw or cosmology-independent observable
DES-Dovekie MU zHD inverse covariance	OBSERVED_PROCESSED_CONDITIONAL	second release state projection	raw or cosmology-independent observable
Pantheon IDSURVEY=10 exclusion	CHOSE_CONSERVATIVE_DEOVERLAP_CONTROL	removes all known same-survey release overlap	proof of full statistical independence
one additive offset per catalog	DECLARED_NUISANCE_CALIBRATION	removes absolute magnitude and distance-scale zero point	shape parameter
uniform piecewise-linear K-knot bases K=8,12,16,24	CHOSE_NUMERICAL_READOUT_FAMILY	reconstructs finite-resolution relative state	physical profile family or dynamics
full covariance GLS	STANDARD_NUMERICAL_TOOL	observational inverse estimate	metric-native law
P1	EXCLUDED_FROZEN_HISTORICAL_PROFILE	none	candidate or regularizer
X_max	EXCLUDED_WORKING_FOUNDATIONAL_FRAME	none	input scale or profile constructor
Lambda-CDM distance law	EXCLUDED_IMPORT	none	data transformation model
observed G and c_E	INACTIVE_ANCHORS_IN_THIS_TEST	none	profile selector
