term	status	maximum_conclusion	open_scope
active_bounded_vacuum_equation	OWNER_ADOPTED_PROVISIONAL_POSTULATES__DERIVED_BOUNDED_CONSEQUENCE	Ric_ab=Lambda*g_ab with connected-constant Lambda	covariant extension outside G312 arena; sources matter singularities
round_positive_cosh	CONDITIONAL_EXACT_MEMBER	positive round conformally flat history fixed up to scale	physical population uniqueness and calibration
weyl_active_einstein_sector	DERIVED_ADMITTED_SOLUTION_CLASS	active equation does not force Weyl zero	global census stability and physical population
positive_nariai_witness	EXACT_REGULAR_COMPACT_COUNTERWITNESS	positive compact causal Einstein history need not be round S3	UDT admissibility and population
berger_S3_initial_data	EXACT_CONSTRAINT_WITNESS__CONDITIONAL_LOCAL_DEVELOPMENT	fixed positive Lambda and S3 topology do not force round initial data	global completion and physical selection
scalar_magnitude	OPEN_CONSTANT_HOMOTHETY_FREEDOM	one connected scalar labels local equation sectors	calibration or global selection
global_bootstrap	OPEN_MISSING_NONIDENTITY_PREDICATE	may select complete metrics without changing local response law	formula ownership uniqueness and physical realization
metric_kernel_angular	UNCHANGED	all existing pair-pullback and cancellation results retained	extension and observations
physical_Xmax	OPEN_NOT_AN_INPUT	no identification with curvature radius	global completion and measurement attachment
external_evidence_grade	EXTERNALLY_ACCEPTED_AFTER_PREREGISTERED_R1_R4_REPAIRS__SCIENTIFIC_LANDING_UNCHANGED	four preregistered evidence repairs independently accepted	no remaining defect inside repair scope
