path	role
LIVE.md	current controlling status and next gate
CURRENT_SCIENTIFIC_PREMISES.tsv	exact premise ownership registry
startup_surface_g312_two_premise_adoption_refresh_2026-09-01/ADOPTION_RECORD.md	owner adoption and bootstrap compatibility boundary
udt_g301_scale_free_quiet_regular_causal_principal_classification_2026-08-30/AUDIT_REPORT.md	bounded response-class basis and caveats
udt_g303_two_class_nonlinear_cauchy_data_classification_2026-08-30/AUDIT_REPORT.md	Cauchy constraints and conditional local development
udt_g304_global_cell_constant_sector_discriminator_2026-08-30/AUDIT_REPORT.md	static sign branch and scale caveat
udt_g305_global_completion_hopf_domain_bridge_2026-08-30/AUDIT_REPORT.md	round positive completion and topology caveats
udt_g306_intrinsic_hopf_section_frame_descent_classification_2026-08-30/AUDIT_REPORT.md	Hopf family nonselection boundary
udt_g307_directed_relation_hopf_member_reconstruction_2026-08-30/AUDIT_REPORT.md	supplied directed/screen germ reconstruction and physical-population nonselection boundary
udt_g308_global_chirality_coherence_parity_classification_2026-08-31/AUDIT_REPORT.md	global chirality carry and metric-only physical-selection boundary
udt_g309_strengthened_chain_history_selection_audit_2026-08-31/AUDIT_REPORT.md	round cosh branch and conditional ownership
udt_g309_strengthened_chain_history_selection_audit_2026-08-31/EXACT_DERIVATION.md	exact round branch derivation
udt_g310_differential_dual_reciprocity_tracefree_ownership_2026-08-31/AUDIT_REPORT.md	Universal Reciprocity bounded consequence
udt_g311_universal_reciprocity_full_covariant_response_2026-09-01/AUDIT_REPORT.md	response-shape and outside-G301 counterresponse
udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/AUDIT_REPORT.md	two-premise conditional closure theorem
udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/EXACT_DERIVATION.md	G301 closure hypotheses and locality boundary
