catch_id	corruption	expected	result
C01	missing_registered_route	REJECT	PASS
C02	duplicate_registered_route	REJECT	PASS
C03	missing_holonomy_stratum	REJECT	PASS
C04	missing_finite_cell_family	REJECT	PASS
C05	pathwise_transport_called_path_independent	REJECT	PASS
C06	simple_connectivity_called_trivial_holonomy	REJECT	PASS
C07	lambda_plus_one_called_unconditional	REJECT	PASS
C08	lambda_minus_one_called_unconditional	REJECT	PASS
C09	lambda_zero_twisted_called_ordinary_LC_holonomy	REJECT	PASS
C10	ordinary_and_twisted_descent_conflated	REJECT	PASS
C11	phi_zero_vacuous_test_used_for_selection	REJECT	PASS
C12	Kato_connection_called_native_selector	REJECT	PASS
C13	singular_regular_complement_promoted_through_singularity	REJECT	PASS
C14	scalar_anchor_called_holonomy_selector	REJECT	PASS
C15	complete_cell_called_on_shell	REJECT	PASS
C16	action_carrier_source_density_or_bootstrap_imported	REJECT	PASS
C17	production_exact_check_corrupted	REJECT	PASS
C18	independent_check_corrupted	REJECT	PASS
C19	source_identity_corrupted	REJECT	PASS
