path	positive_capability	limitation_for_this_audit
CURRENT_SCIENTIFIC_PREMISES.md	foundational_precedence_and_open_complete_extension	no_selected_transport_or_global_branch
CURRENT_SCIENTIFIC_PREMISES.tsv	exact_G01_G02_G06_G08_G12_G16_status	no_holonomy_or_bundle_ontology_selector
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	additive_pair_character_and_reversal	complete_4D_lift_and_profile_open
udt_observer_pair_triangle_consistency_audit_2026-07-26/AUDIT_REPORT.md	endpoint_groupoid_and_middle_transition_gap	connection_section_not_selected
udt_observer_pair_triangle_consistency_audit_2026-07-26/DERIVATION_RESULT.json	exact_finite_commutator_and_groupoid_controls	local_only
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/AUDIT_REPORT.md	complete_conditional_X_lambda_family	lambda_and_global_persistence_open
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/DERIVATION_RESULT.json	exact_stabilizers_and_direction_family	no_global_holonomy
udt_finite_cell_cartan_transport_atlas_2026-07-23/AUDIT_REPORT.md	metric_connection_blocks_Kato_control_and_causal_strata	zero_complete_on_shell_cells
udt_finite_cell_cartan_transport_atlas_2026-07-23/FINITE_CELL_CARTAN_TRANSPORT_ATLAS.tsv	twelve_family_transport_capabilities	profiles_holonomies_and_connections_unsupplied
udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	Z2_graded_reciprocal_normalizer	physical_readout_cover_and_angular_lift_open
udt_global_coframe_cocycle_audit_2026-07-20/COCYCLE_CLASSIFICATION.tsv	exact_preserving_inverting_transition_algebra	no_complete_physical_metric_cocycle
udt_reciprocal_seam_descent_audit_2026-07-23/AUDIT_REPORT.md	exact_twisted_value_character_descent	connection_and_complete_coframe_solder_open
udt_reciprocal_seam_descent_audit_2026-07-23/GLOBAL_DESCENT_THEOREMS.tsv	normalizer_seam_and_critical_dphi_capabilities	global_cover_and_physical_metric_glue open
udt_frame_bivector_equivariance_audit_2026-07-23/AUDIT_REPORT.md	frame_algebra_holonomy_reduction_and_null_obstruction	complete_branch_and_preserved_reduction_open
metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	connection_and_holonomy_derived_per_metric	no_metric_or_holonomy_selection
udt_native_coframe_composition_law_audit_2026-07-23/AUDIT_REPORT.md	chosen_chart_group_closure	physical_section_and_Lorentz_quotient_operation_open
udt_finite_cell_completion_atlas_2026-07-21/AUDIT_REPORT.md	twelve_parametric_completion_families	no_complete_on_shell_metric_phi_witness
udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv	global_local_response_and_section gaps	action_source_and_bootstrap closure open
