route_id	outcome	status	decisive_reason	remaining_open
R01	UNIQUE_PATHWISE_CONJUGATION_FOR_EVERY_LAMBDA	DERIVED_GIVEN_COMPLETE_METRIC_INITIAL_LIFT_AND_CURVE	Levi_Civita_parallel_transport_is_a_Lorentz_isometry	metric_branch_initial_u_n_and_path_selection
R02	HOLONOMY_CENTRALIZER_CRITERION	DERIVED_MATHEMATICAL_EQUIVALENCE	two_path_outputs_agree_iff_loop_holonomy_commutes_with_X	physical_path_independence_premise_and_actual_holonomy
R03	NO_FOUNDED_NONTRIVIAL_LIFT	OBSTRUCTED_FOR_FULL_HOLONOMY	full_Lorentz_commutant_is_scalar_identity	whether_selected_branch_reduces_holonomy
R04	LAMBDA_PLUS_ONE	UNIQUE_CONDITIONAL	SO3_mixes_all_spatial_directions_and_preserves_timelike_line	branch_with_parallel_timelike_line_not_selected
R05	LAMBDA_MINUS_ONE	UNIQUE_CONDITIONAL	SOplus_1_2_mixes_timelike_and_screen_complement_while_preserving_ruler_line	branch_with_parallel_spacelike_line_not_selected
R06	ALL_LAMBDA	NONSELECTING_CONDITIONAL	SO2_screen_rotation_commutes_with_complete_family	ordered_pair_reduction_not_selected
R07	NO_LAMBDA	OBSTRUCTED	base_boost_mixes_founded_minus_one_and_plus_one_eigenlines	whether_actual_holonomy_contains_base_boosts
R08	NO_REGULAR_SEMISIMPLE_LAMBDA	OBSTRUCTED_ON_NULL_STABILIZER	null_generators_require_lambda_plus_one_and_minus_one_simultaneously	null_filtration_or_type_change_data
R09	LAMBDA_ZERO_FOR_COMPLETE_ODD_LIFT	UNIQUE_CONDITIONAL_TWISTED	F_X_F_inverse_equals_minus_X_and_F_D_phi_F_inverse_equals_D_minus_phi_only_at_lambda_zero	ordinary_vs_twisted_ontology_and_physical_readout_solder
R10	PRESERVING_CONNECTION_CAN_BE_CONSTRUCTED_AFTER_CHOICE	CONDITIONAL_NONSELECTING	Kato_correction_depends_on_preselected_projector_or_lift	physical_connection_and_lambda
R11	TWELVE_FAMILIES_CLASSIFIED_WITH_NO_SELECTED_BRANCH	OPEN_GLOBAL	restricted_holonomy_and_discrete_monodromy_require_complete_metric_and_glue	complete_on_shell_cell_and_global_reduction
R12	NO_HOLONOMY_OR_BUNDLE_SELECTOR	NO_TYPED_SELECTOR	c_E_G_obs_and_provisional_hbar_are_scalars	native_global_selection_law
