id	object	status	exact_scope_or_premises	what_is_not_claimed
S01	Levi_Civita_connection	DERIVED_PER_COMPLETE_METRIC	torsion_free_metric_compatible_connection	complete_metric_branch_selected
S02	pathwise_reciprocal_lift_transport	DERIVED_GIVEN_INPUTS	initial_X_lambda_and_one_regular_curve	path_or_initial_lift_selected
S03	ordinary_path_independence	HOLONOMY_CENTRALIZER_CONDITIONAL	global_parallel_endomorphism	founded_requirement_of_path_independence
S04	lambda_plus_one	UNIQUE_CONDITIONAL	full_SO3_holonomy_preserving_timelike_line	universal_lambda
S05	lambda_minus_one	UNIQUE_CONDITIONAL	full_SOplus_1_2_holonomy_preserving_spacelike_ruler_line	universal_lambda
S06	lambda_zero	UNIQUE_CONDITIONAL_TWISTED	complete_lift_odd_under_reciprocal_Z2_inversion_at_nonzero_phi	ordinary_Levi_Civita_holonomy_or_selected_physical_readout
S07	ordered_pair_SO2_or_trivial_holonomy	NONSELECTING_CONDITIONAL	all_lambda_commute	global family selection
S08	full_boostscreen_or_null_holonomy	OBSTRUCTED_IN_REGISTERED_SEMISIMPLE_FAMILY	no_lambda_centralizes	no_other_nonsemisimple_global_object
S09	Kato_preserving_connection	CONDITIONAL_MATHEMATICAL_CONTROL	chosen_smooth_fixed_rank_reduction	native_force_dynamics_or_selector
S10	finite_cell_holonomy_cross	COMPLETE_BOUNDED_CLASSIFICATION	all_twelve_registered_parametric_families	complete_on_shell_cell
S11	ordinary_vs_twisted_global_ontology	OPEN_NOT_SELECTED	centralizer_and_normalizer_routes_both_exact_in_their_scopes	one_route_physical
S12	smallest_missing_global_data	SELECTED_COMPLETE_METRIC_BRANCH_PLUS_GLOBAL_REDUCTION_AND_MONODROMY	must_determine_actual_holonomy_and_ordinary_or_twisted_descent	new_postulate_invented
S13	scalar_anchors	NO_DIRECTIONAL_OR_HOLONOMY_SELECTOR	c_E_G_obs_and_provisional_hbar	hbar_activated
S14	action_carrier_source_boundary_density_mass	OPEN_UNCHANGED	excluded	physics_closure
S15	overall	VERIFIED_WITH_CAVEATS	50_exact_35_independent_12_routes_15_strata_12_cells_no_fresh_external_model	unconditional_complete_coframe_or_universe
