id	claim_to_test	falsifier	maximum_if_passed
F01	pathwise_metric_transport_exists_for_every_lambda	lambda_dependent_failure_of_conjugation_or_metric_compatibility	pathwise_existence_only
F02	path_independence_is_equivalent_to_holonomy_centralization	loop_independent_endpoint_map_without_centralization	ordinary_section_criterion
F03	full_Lorentz_holonomy_preserves_no_founded_nontrivial_lift	nonscalar_X_lambda_in_full_commutant	full_holonomy_obstruction
F04	reduced_holonomies_have_complete_lambda_classification	missed_lambda_or_commutant_direction	conditional_reduction_rulings
F05	reciprocal_inverting_twisted_descent_has_complete_lambda_classification	nonzero_lambda_exact_inversion_witness_or_lambda0_failure	conditional_twisted_ruling
F06	ordinary_and_twisted_descent_are_logically_distinct	equivalent_conditions_on_all_registered_strata	ontology_fork
F07	Kato_corrected_transport_does_not_select_physical_connection_or_lambda	current_source_promotes_it_to_native_transport	conditional_control_only
F08	all_twelve_finite_cell_families_receive_global_transport_ruling	missing_or_duplicate_family	bounded_global_cross
F09	scalar_anchors_do_not_select_holonomy_or_bundle_type	typed_selector_from_current_scalar_premises	scale_shape_separation
F10	all_routes_and_holonomy_strata_are_covered	missing_or_duplicate_registered_row	bounded_atlas_completeness
