stratum_id	outcome	status	allowed_connection_algebra_or_gate
H01	ALL_LAMBDA	NONSELECTING	global_parallel_frame_on_relevant_domain;connection_components_are_gauge_dependent
H02	ALL_LAMBDA	NONSELECTING_CONDITIONAL	J23_screen_rotation
H03	REJECT_GENERIC_LAMBDA	DERIVED_OBSTRUCTION	spatial_rotations_J12_J13_fail_unless_lambda_plus_one
H04	LAMBDA_PLUS_ONE	UNIQUE_CONDITIONAL	SO3_span_J12_J13_J23
H05	REJECT_GENERIC_LAMBDA	DERIVED_OBSTRUCTION	boosts_K2_K3_fail_unless_lambda_minus_one
H06	LAMBDA_MINUS_ONE	UNIQUE_CONDITIONAL	SOplus_1_2_span_K2_K3_J23
H07	NO_LAMBDA	DERIVED_OBSTRUCTION	K1_never_commutes_with_founded_pair_response
H08	NO_LAMBDA	DERIVED_OBSTRUCTION	full_Lorentz_commutant_scalar_but_X_has_fixed_minus_one_plus_one
H09	NO_REGULAR_SEMISIMPLE_LAMBDA	DERIVED_OBSTRUCTION	null_stabilizer_conditions_incompatible
H10	LAMBDA_ZERO	UNIQUE_CONDITIONAL_TWISTED	reciprocal_swap_normalizes_span_X_and_inverts_character
H11	REJECT	DERIVED_TWISTED_OBSTRUCTION	screen_plus_one_does_not_reverse
H12	REJECT	DERIVED_TWISTED_OBSTRUCTION	screen_minus_one_does_not_reverse
H13	REJECT_ALL_NONZERO_LAMBDA	DERIVED_TWISTED_OBSTRUCTION	trace_and_characteristic_polynomial_forbid_X_conjugate_to_minus_X
H14	REQUIRES_BRANCH_SPECIFIC_CENTRALIZER_COMPUTATION	OPEN	unknown_proper_subgroup_not_inferred_from_filename_or_topology
H15	REGULAR_COMPLEMENT_ONLY	OPEN_EXTENSION	no_through_singularity_or_type_change_transport_claim
