completion_id	topology_family	pathwise_transport	restricted_holonomy_gate	global_or_discrete_gate	reciprocal_twist_gate	ruling
FC01_BOUNDARY_BOUNDARY	I_X_ORBIT	AVAILABLE_ON_REGULAR_SUPPLIED_PATH	COMPLETE_METRIC_CURVATURE_UNSUPPLIED	ORBIT_LOOPS_AND_BOUNDARY_IDENTIFICATION_UNSUPPLIED	ONLY_IF_INVERTING_COCYCLE_AND_ODD_COMPLETE_LIFT_SUPPLIED	NO_BRANCH_OR_LAMBDA_SELECTED
FC02_ONE_CAP_BOUNDARY	SOLID_TORUS_WITH_BOUNDARY	AVAILABLE_ON_REGULAR_SUPPLIED_PATH	COMPLETE_METRIC_CURVATURE_UNSUPPLIED	PI1_Z_MONODROMY_MUST_CENTRALIZE_OR_NORMALIZE	CAP_AND_BOUNDARY_GLUE_DO_NOT_SUPPLY_ODD_LIFT	NO_BRANCH_OR_LAMBDA_SELECTED
FC03_TWO_CAP_P0	S2_X_S1_STANDARD_OR_GENERAL_P0	AVAILABLE_ON_REGULAR_SUPPLIED_PATH	CONTRACTIBLE_LOOP_HOLONOMY_UNSUPPLIED	PI1_Z_MONODROMY_MUST_CENTRALIZE_OR_NORMALIZE	RECIPROCAL_INVERSION_NOT_FORCED_BY_TOPOLOGY	NO_BRANCH_OR_LAMBDA_SELECTED
FC04_TWO_CAP_P1	S3	AVAILABLE_ON_REGULAR_SUPPLIED_PATH	SIMPLE_CONNECTIVITY_DOES_NOT_REMOVE_CURVATURE_HOLONOMY	NO_NONTRIVIAL_PI1_IN_DECLARED_S3_CONTROL	RECIPROCAL_INVERSION_NOT_FORCED_BY_S3	NO_BRANCH_OR_LAMBDA_SELECTED
FC05_TWO_CAP_P_GT1	LENS_L_P_Q	AVAILABLE_ON_REGULAR_SUPPLIED_PATH	CONTRACTIBLE_LOOP_HOLONOMY_UNSUPPLIED	FINITE_PI1_MONODROMY_MUST_CENTRALIZE_OR_NORMALIZE	LENS_QUOTIENT_LIFT_UNSUPPLIED	NO_BRANCH_OR_LAMBDA_SELECTED
FC06_NONPRIMITIVE_CAP	SINGULAR_TORIC_COMPLETION	REGULAR_COMPLEMENT_ONLY	REGULAR_COMPLEMENT_HOLONOMY_UNSUPPLIED	ORBIFOLD_OR_SINGULAR_MONODROMY_NEEDS_EXTENSION_DATA	NO_THROUGH_SINGULARITY_TWISTED_CLAIM	NO_BRANCH_OR_LAMBDA_SELECTED
FC07_PERIODIC_TORUS_BUNDLE	TORUS_BUNDLE_OVER_S1	AVAILABLE_ON_REGULAR_SUPPLIED_PATH	COMPLETE_METRIC_CURVATURE_UNSUPPLIED	TORUS_BUNDLE_AND_GL2Z_MONODROMY_MUST_BE_LIFTED	ODD_RECIPROCAL_GRADE_MUST_BE_SEPARATELY_SUPPLIED	NO_BRANCH_OR_LAMBDA_SELECTED
FC08_MIRROR_DOUBLE	DOUBLE_OR_REFLECTION_QUOTIENT	AVAILABLE_AWAY_FROM_AND_CONDITIONALLY_ACROSS_SEAM	DOUBLE_RESTRICTED_HOLONOMY_UNSUPPLIED	SEAM_TRANSITION_MUST_CENTRALIZE_FOR_ORDINARY_SECTION	IF_COMPLETE_LIFT_IS_ODD_AND_READOUT_COMPATIBLE_THEN_LAMBDA_ZERO	CONDITIONAL_ZERO_ROUTE_EXISTS_BUT_NOT_SELECTED
FC09_NONORIENTABLE_GLUE	NONORIENTABLE_ORIENTATION_TWISTED	AVAILABLE_ON_ORIENTATION_COVER_REGULAR_PATH	RESTRICTED_HOLONOMY_UNSUPPLIED	ORIENTATION_REVERSING_MONODROMY_REQUIRES_EXPLICIT_LIFT	RECIPROCAL_SIGN_LOCAL_SYSTEM_NOT_IDENTICAL_TO_ORIENTATION_LINE_WITHOUT_SOLDER	NO_BRANCH_OR_LAMBDA_SELECTED
FC10_STRATIFIED_PROJECTOR	STRATIFIED_DISTRIBUTION	PIECEWISE_ON_SMOOTH_FIXED_RANK_REGIONS	EACH_STRATUM_HOLONOMY_UNSUPPLIED	INTERSTRATUM_MATCHING_AND_LOOP_DATA_UNSUPPLIED	TWISTED_LINE_MAY_SURVIVE_ONLY_WITH_EXPLICIT_EQUIVARIANCE	NO_BRANCH_OR_LAMBDA_SELECTED
FC11_NONINTEGRABLE_DISTRIBUTION	NONINTEGRABLE_PLANE_FIELD	AVAILABLE_ON_REGULAR_SUPPLIED_PATH	ANHOLONOMY_DOES_NOT_BY_ITSELF_FIX_LEVI_CIVITA_HOLONOMY	GLOBAL_DISTRIBUTION_MONODROMY_UNSUPPLIED	NO_AUTOMATIC_RECIPROCAL_GRADE	NO_BRANCH_OR_LAMBDA_SELECTED
FC12_RECIPROCAL_TORIC_DIAGONAL	BOUNDARY_P0_S3_LENS_OR_OTHER_PER_CAP_DATA	AVAILABLE_ON_OPEN_REGULAR_CONTROL	CONDITIONAL_METRIC_HOLONOMY_UNSUPPLIED	CAP_QUOTIENT_AND_ANGULAR_MONODROMY_UNSUPPLIED	KNOWN_NORMALIZER_CAPABILITY_WOULD_FORCE_LAMBDA_ZERO_FOR_COMPLETE_ODD_LIFT_BUT_PHYSICAL_SOLDER_OPEN	CONDITIONAL_ZERO_ROUTE_EXISTS_BUT_NOT_SELECTED
