id	constraint_or_equivalence	domain	registered_status	audited_rank_effect	rank_status	conclusion
K01	coordinate_diffeomorphism_presentation	LOCAL_BULK	STANDARD_TENSOR_EQUIVALENCE	G4[4]	PRESENTATION_GAUGE_EXACT	removes coordinate descriptions not geometry
K02	local_Lorentz_coframe_presentation	LOCAL_BULK	STANDARD_COFRAME_EQUIVALENCE	G4[6]	PRESENTATION_GAUGE_EXACT	removes coframe Lorentz presentations only
K03	regular_Lorentz_signature_and_positivity	LOCAL_BULK	REGISTERED_CONDITIONAL_ARENA	ZERO	OPEN_CONDITION	signature/positivity selects an open stratum
K04	reciprocal_duality_uv_equals_one	ABSTRACT_INTERNAL	DERIVED_EXACT	ONE_INTERNAL_CHANNEL_RELATION__ZERO_SPACETIME_RANK	EXACT_INTERNAL_ONLY	one reciprocal character remains
K05	reciprocal_additive_composition	ABSTRACT_INTERNAL	DERIVED_EXACT	ZERO_POINTWISE_FIELD_RANK	EXACT_CHARACTER_FORM	selects exponential law in abstract comparison argument
K06	observer_frame_reciprocity	RELATIONAL	FOUNDATIONAL	U[PAIR_OPERATOR_SOLDER]	OPEN_SPACETIME_RANK	frame equivalence supplies no complete metric slot map
K07	strong_local_CSN	LOCAL_BULK	CHALLENGED_OPEN	CONDITIONAL_G4[1]	CHALLENGED_OPEN	sensitivity branch only
K08	constant_common_rescaling	GLOBAL	WORKING_PRESENTATION_POSSIBILITY	AT_MOST_C[1]	GLOBAL_ONLY	constant rescaling is not a local gauge function
K09	finite_cell_no_spatial_infinity	GLOBAL_DOMAIN	FOUNDATIONAL	ZERO_LOCAL+U[GLOBAL_DOMAIN]	ONTOLOGY_NOT_EQUATION	finite domain supplies no point-local field relation
K10	static_seal_phi_trace_zero	BOUNDARY	STATIC_BRANCH_CONDITIONAL	F3[1]_TRACE	STATIC_BOUNDARY_ONLY	does not remove bulk phi
K11	static_seal_delta_phi_zero	BOUNDARY_TANGENT	STATIC_BRANCH_CONDITIONAL	F3[1]_TANGENT_TRACE	STATIC_VARIATION_DOMAIN_ONLY	normal derivative and other variations remain
K12	completion_regularity_and_gluing	GLOBAL_BOUNDARY	REGISTERED_ALTERNATIVES	U[COMPLETION_DEPENDENT]	GLOBAL_OPEN	no universal boundary/gluing rank
K13	measured_c_anchor	CALIBRATION	OBSERVED	ZERO_LOCAL_FUNCTIONAL_RANK	OBSERVED_CALIBRATION	c calibrates clock-distance scale
K14	measured_G_anchor	CALIBRATION	OBSERVED	ZERO_LOCAL_FUNCTIONAL_RANK	OBSERVED_CALIBRATION	G calibrates mass-length conversion
K15	bootstrap_admissibility	COMPLETE_SOLUTION	WORKING	ZERO_PRESENT_LOCAL_RANK	ON_SHELL_WORKING_ONLY	complete mass-volume-stability response absent
K16	F_equals_dS	DERIVED_DEFINITION	CONDITIONAL_TORIC	ZERO_ADDITIONAL_FIELD	DERIVED_DEFINITION	F is not independent when F=dS
K17	dF_equals_zero	DIFFERENTIAL_IDENTITY	DERIVED_FROM_K16	ZERO_DYNAMICAL_RANK	DERIVED_IDENTITY	d squared equals zero and is not a sourced Maxwell equation
K18	Levi_Civita_connection	DERIVED_EVALUATOR	CONDITIONAL_REGULAR_METRIC	ZERO_ADDITIONAL_FIELD	DERIVED_EVALUATOR	Levi-Civita connection is metric-derived
K19	projector_idempotence_and_orthogonality	DERIVED_OR_SUPPLIED	BRANCH_DEPENDENT	ZERO_IF_DERIVED__F4[4]_IF_SUPPLIED	BRANCH_DEPENDENT	spectral and supplied projectors must be separated
K20	complete_native_response_or_EOM	CONFIGURATION_SPACE	OPEN	NO_CURRENT_RANK	OPEN_ABSENT	complete native response/EOM is the missing interface
