completion_id	base_type	global_mechanism	counting_obligation
FC01_BOUNDARY_BOUNDARY	FINITE_INTERVAL	TWO_PHYSICAL_BOUNDARIES	boundary embeddings polarizations normal jets and corner data
FC02_ONE_CAP_BOUNDARY	FINITE_INTERVAL	ONE_PRIMITIVE_CAP_ONE_BOUNDARY	primitive cap vector regularity jets and boundary data
FC03_TWO_CAP_P0	FINITE_INTERVAL	TWO_DEPENDENT_PRIMITIVE_CAPS	ordered dependent primitive cycles and cap jets
FC04_TWO_CAP_P1	FINITE_INTERVAL	TWO_UNIMODULAR_PRIMITIVE_CAPS	ordered unimodular primitive cycles cap jets and orientation
FC05_TWO_CAP_P_GT1	FINITE_INTERVAL	TWO_GENERAL_PRIMITIVE_CAPS	all determinant magnitude greater than one lens families and cap jets
FC06_NONPRIMITIVE_CAP	FINITE_INTERVAL	NONPRIMITIVE_OR_SINGULAR_CAP	nonprimitive vectors singular strata and admissible jets
FC07_PERIODIC_TORUS_BUNDLE	PERIODIC_BASE	GL2Z_MAPPING_TORUS	period monodromy matching and continuous profile moduli
FC08_MIRROR_DOUBLE	DOUBLED_INTERVAL	MIRROR_OR_REFLECTION_LIFT	involution lift fixed set parity jets and quotient data
FC09_NONORIENTABLE_GLUE	PERIODIC_OR_QUOTIENT	ORIENTATION_REVERSING_GLUE	determinant-minus-one monodromy and line sign holonomy
FC10_STRATIFIED_PROJECTOR	FINITE_OR_PERIODIC	PROJECTOR_RANK_TRANSITION	strata transition loci coarsening and interface data
FC11_NONINTEGRABLE_DISTRIBUTION	FINITE_OR_PERIODIC	ANHOLONOMIC_NO_ORBIT_SURFACE	distribution connection torsion and lack of orbit coordinates
FC12_RECIPROCAL_TORIC_DIAGONAL	FINITE_INTERVAL	CONDITIONAL_FIXED_INTEGRAL_T2_CONTROL	two positive one-dimensional profiles plus endpoint class inside supplied ansatz only

