catch_id	forbidden_promotion	result
X01	configuration quotient promoted to physical modes	PASS_REJECTED
X02	strong local CSN subtracted in primary count	PASS_REJECTED
X03	reciprocity promoted to spacetime equation	PASS_REJECTED
X04	regularity counted as equality	PASS_REJECTED
X05	finite-cell ontology counted locally	PASS_REJECTED
X06	seal trace removes bulk phi	PASS_REJECTED
X07	derived curvature double counted	PASS_REJECTED
X08	dF identity counted dynamically	PASS_REJECTED
X09	Maxwell field imported	PASS_REJECTED
X10	FC12 promoted to generic	PASS_REJECTED
X11	global boundary data assigned finite rank	PASS_REJECTED
X12	completion deleted	PASS_REJECTED
X13	realization branch duplicated	PASS_REJECTED
X14	unlike ranks collapsed	PASS_REJECTED
X15	constraint domain erased	PASS_REJECTED
X16	same code labeled independent	PASS_REJECTED
X17	completion preferred	PASS_REJECTED
X18	local rank promoted to global solution count	PASS_REJECTED
