path	base_commit	git_blob	bytes	sha256
AUDIT_REPORT.md	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	ec200f5e9a5d9880fe9d3a0c51e00729645b3448	4934	469898adf9654048840f39d97dd9bd5a7b6ef410e0d9ff715db402b41bcba714
AUDIT_RESULT.json	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	191d13e047214739efe1ac1f3db860b2165ef56c	1091	4fe4bafb8830bc304931e4a219ac6814094f78ed872f753ad39ba2ff6db84f5a
CATCH_PROOF_RESULTS.tsv	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	413b6426aefc0e813203eb3d9f3808945a1f6a21	942	e686a10b3d3b9a873ea9eab34d97600abc7fc084925118be7c72efacf3db3e69
COMPLETION_DOF_ATLAS.tsv	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	e3c68fd6bd2b459ec96f9785b3d9d2c6127c01a2	2143	a07f4092dd96a719e36c6790873c372168e8ad547ab0cce9b9c2aa20f459840b
CONSTRAINT_RANK_LEDGER.tsv	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	a7ab4cf92319c8c0627b778e286626a40bbc40e6	3071	afc4ee5bfc83cfad13807ddab0278e58355ce931521db7ff01891f41d9b42ac1
DERIVED_OBJECT_NO_DOUBLE_COUNT.tsv	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	671e6d994cc2c0a47a62f55a3a04129770bda4de	1655	d33c44439c79192dad2ff802434cd3ee4bba862a9bb2b2c8eab6d797f2a31185
EXACT_DERIVATION.md	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	6cfecce436c807acb3b428ff7c545a251e09aab9	9641	e5058c85d44cbf379124202b41191bd9882bde6f396bf85d8818be6a007a4fd9
INDEPENDENT_VERIFICATION_RESULT.json	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	ff2f2a2c8cfe4c637e1fd5b4f622feb972ebeef8	6048	e1ca85a01fdf257c62f70a83eddbab4a8568b7a1f6d77aa83132cfebe5e07bab
LAY_REPORT.md	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	bfe3c04689751e9a21d7e978ce2d4973a2bc35de	2111	baca9fb706401978ed4ecc0fea593dff2c10a4b523a837279143459775543844
LOCAL_PRESENTATION_RANK.tsv	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	1d3e2efb12e192ea0b4be8fc0548145d74be93ea	1835	5d88767dad55ca45282cf56a7208f216423726e77dfc18f94e0358df77f83c90
NEXT_STEP.md	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	6b4efb1991db06255279dac95ef097c28be31ee6	1334	f577b2ef261c0ab5f8eaef6e04fdabf7a1bddf53e8cecb614212858957b06f94
REALIZATION_BRANCH_RANK.tsv	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	a52986c96166b9851f43f7a30a9bef93a7c7aa62	1961	d2971a6058abdf9d1222037054edf32bee3eee7ad7b7951828a22ece2f614351
RESPONSE_COVERAGE_TARGET.tsv	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	90d34cff9f8118fc8c9f877dd7d17708de10e8f9	1405	b7025fa06c9c0502958e6bf5d961cfdea1cb273d92a4dd7a2fb6111e3efd5c3d
STATUS_LEDGER.tsv	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	4c3c759d07196ef91f49c30aaa24d9852ab4a8ac	2135	f3da3be908f19b2d81e5cf79167f75b069ac406b3bc6f30a690494a2b4924b68
VERIFICATION_RESULT.json	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	dc991333502c1a05f71d834bbd3513e4c7533aae	165	f25c67a104dad648f27c9cea59c3b09ea5e94e744d05ed091adf1d42449a0bc0
build_dof_audit.py	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	2c544722ef494a082a31148fde1654f4740f921d	23324	f93edb8fe11a66c46be1b099d97bea4ae0a8f9216661294de014ec4346955241
verify_dof_audit.py	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	16d3954567dbfc3825ff7c156c4321346a035427	11282	ea65725d9d25a4908c45965d9d2850fcef41456a7b4ae3a21661229c3cbaf546
verify_dof_audit_independent.py	b4d16fb47e87086eb24fe9115d4ee50bc47d7722	3dcb080ea724e47bf484bd118696867adbb1d29f	6902	67e7a68f5698a203a7302a8b1c954a115c04ba48bceb632f5252e036e00d7f15
