source_id	path	role
S01	udt_constructive_metric_family_atlas_2026-07-21/AUDIT_REPORT.md	regular ten-function chart and supplied 2+2 split scope
S02	udt_constructive_metric_family_atlas_2026-07-21/FAMILY_DEFINITIONS.tsv	exact chart parameterization
S03	udt_independent_amplitude_metric_atlas_2026-07-21/AUDIT_REPORT.md	independent ten-amplitude and metric-plus-phi tangent ranks
S04	udt_independent_amplitude_metric_atlas_2026-07-21/AMPLITUDE_DESIGN.tsv	independent variable design
S05	udt_independent_amplitude_metric_atlas_2026-07-21/PARAMETER_TANGENT_RANKS.tsv	numerical exact-rank controls
S06	udt_complete_metric_solution_space_map_2026-07-21/OFFSHELL_CONFIGURATION_BRANCHES.tsv	seven branch universe
S07	udt_founded_constraint_atlas_p03_2026-07-21/REALIZATION_BRANCHES.tsv	founded realization effects
S08	udt_founded_constraint_atlas_p03_2026-07-21/CONSTRAINT_EFFECT_LEDGER.tsv	exact local/global constraint effects
S09	udt_founded_constraint_atlas_p03_2026-07-21/UNCONSTRAINED_DIMENSIONS.tsv	prior local algebraic counts
S10	udt_global_kinematic_assembly_p03g_2026-07-21/LOCAL_TO_GLOBAL_EXTENSION_GATES.tsv	branch global extension gates
S11	udt_global_kinematic_assembly_p03g_2026-07-21/UNCOUNTED_GLOBAL_MODULI.tsv	uncounted global objects
S12	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	twelve completion classes
S13	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	completion and transport status
S14	udt_completion_scoped_realized_observable_map_2026-07-26/COMPLETION_UNIVERSE.tsv	current exact completion keys
S15	udt_completion_scoped_realized_observable_map_2026-07-26/LOCK_LINKAGE_LEDGER.tsv	upstream linkage objects
S16	udt_completion_scoped_realized_observable_map_2026-07-26/AUDIT_REPORT.md	current complete-metric witness status
S17	udt_structural_ensemble_metric_atlas_2026-07-21/AUDIT_REPORT.md	nonlinear sector interactions
S18	udt_chart_coframe_invariance_atlas_2026-07-21/AUDIT_REPORT.md	chart/coframe invariance and split dependence
S19	udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv	current response/action closure status
S20	udt_global_local_relational_closure_audit_2026-07-25/DEPENDENCY_ARCHITECTURE.tsv	current missing response interface
S21	udt_reciprocal_pair_global_module_audit_2026-07-24/STATUS_LEDGER.tsv	metric-native reciprocal torus-module status
S22	udt_complete_metric_intrinsic_object_audit_2026-07-23/BUNDLE_DEPENDENCY_MATRIX.tsv	conditional toric connection dependencies
S23	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	toric connection curvature and global input scope
S24	scale_breaking_closure_census_2026-07-20/STATUS_LEDGER.tsv	scale-rank status
S25	matter_bootstrap_dimensional_inventory_2026-07-20/STATUS_LEDGER.tsv	matter coefficient and dimensional status

