source_id	udt_join	match_grade	allowed_role	hypothesis_gate	firewall_gate	application_status
S001	J03	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Linearity; locality/support condition; smooth sections.	Cannot declare an unspecified UDT selector local, regular, or linear.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S002	J03	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Locality plus the paper's regularity hypotheses on nonlinear operators between section spaces.	Cannot infer that bootstrap, a global seal, or a quotient selector is local.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S003	J03	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Naturality under the stated morphisms; locality; regularity; specified input and output bundles.	The classification cannot supply a UDT-preferred output bundle, weight, or physical interpretation.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S004	J12	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Four dimensions; symmetric rank-two output; divergence freedom; metric concomitant; derivative-order and regularity assumptions.	Cannot import the Einstein tensor or its field equation as UDT; uniqueness is conditional on Lovelock's class.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S005	J02	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Riemannian signature in the original theorem; completeness and simple connectivity for global form; nondegenerate invariant subspaces.	Cannot apply the positive-definite theorem unchanged to a Lorentzian finite cell or infer a selected product.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S006	J02	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	A specified smooth connection and its reachable parallel transports.	Cannot call open-path projector transport holonomy or replace the UDT Levi-Civita connection with another connection.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S007	J02	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Torsion-free connection; irreducibility; non-local-symmetry; signature and other classification hypotheses.	Cannot use Berger's list to select a UDT branch before its signature, reducibility, and symmetry class are established.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S008	J02	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Specified bundle connection; differentiability or analyticity assumptions appropriate to the theorem used.	A pointwise curvature eigenplane is not by itself an invariant holonomy subspace.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S009	J02	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Torsion-free affine connection; irreducible action; classification up to the paper's equivalences.	Cannot infer that any classified holonomy is physically selected or that UDT is irreducible.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S010	J12	ANALOGY_ONLY	QUESTION_GENERATOR	Compact Riemannian manifold; conformal class; elliptic variational setting.	Cannot use the Yamabe functional or constant scalar curvature as a UDT scale selector.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S011	J12	ANALOGY_ONLY	UNIVERSAL_CONTROL	Compact Riemannian setting; Sobolev and elliptic hypotheses; conformal deformation equation.	Cannot transfer an existence theorem across signature or treat existence as uniqueness or physical selection.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S012	J12	ANALOGY_ONLY	UNIVERSAL_CONTROL	Compact Riemannian manifold; dimension and non-spherical case conditions in the paper.	Cannot adopt the Yamabe invariant or minimizer as UDT bootstrap data.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S013	J12	ANALOGY_ONLY	UNIVERSAL_CONTROL	Compact Riemannian manifold; conformal Laplacian; elliptic regularity; case-specific global hypotheses.	Cannot import the positive-mass route, scalar-curvature target, or Riemannian signature into UDT.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S014	J03	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	A conformal manifold; formal ambient metric construction; dimension and jet-order conditions.	Cannot identify a universal conformal invariant with a UDT dynamical action or physical representative.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S015	J01	ANALOGY_ONLY	QUESTION_GENERATOR	Distinguished light paths and free-fall paths; regularity; compatibility and clock assumptions.	Cannot import GR free fall, equivalence, clocks, or Weyl compatibility as UDT premises.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S016	J03	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	A specified complex or Hermitian bundle and connection; invariant polynomial; global base manifold.	Cannot obtain a carrier, section, or bundle merely from a local two-form motif.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S017	J03	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Positive-definite oriented four-manifold; specified bundle and connection; self-duality equation.	Cannot equate Lorentzian complex Hodge eigenspaces or a universal split with matter or a selected UDT plane.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S018	J05	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	A globally defined map S3 to S2; normalized area form; exact pullback; orientation.	Cannot infer the map, target, section, orientation, or normalization from the integral formula.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S019	J08	ANALOGY_ONLY	QUESTION_GENERATOR	Compact oriented Riemannian manifold with boundary; elliptic operator; APS spectral boundary condition.	Cannot import APS boundary conditions, eta invariant, or elliptic operator as UDT boundary completion.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S020	J02	DIRECT_MATHEMATICAL_MATCH	VOCABULARY	A specified differentiable fiber bundle and horizontal distribution or connection.	Cannot infer a bundle, fiber, or physical transport law merely because a connection can be defined once they are supplied.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S021	J04	ANALOGY_ONLY	UNIVERSAL_CONTROL	A topological group; paracompact-type base assumptions appropriate to bundle classification; specified principal bundle category.	Cannot use classification to select the structure group, classifying map, or realized quotient.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S022	J04	ANALOGY_ONLY	UNIVERSAL_CONTROL	Yang-Mills equation; four-dimensional Riemannian setting; finite L2 curvature/action; gauge bundle.	Cannot import Yang-Mills, gauge fields, finite action, or compactification as UDT completion rules.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S023	J04	ANALOGY_ONLY	QUESTION_GENERATOR	Riemannian initial data; specified scalar-curvature or constraint operator; weighted spaces; nondegeneracy conditions.	Cannot import Einstein constraints, asymptotic ends, or gluing choices as UDT finite-cell rules.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S024	J08	ANALOGY_ONLY	UNIVERSAL_CONTROL	A Hamiltonian GR phase space; asymptotic falloff; chosen symmetry class; differentiable generator.	Cannot import ADM charges, spatial infinity, or GR phase space into a finite UDT cell.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S025	J08	ANALOGY_ONLY	UNIVERSAL_CONTROL	Einstein-Hilbert action; non-null boundary; chosen induced-metric variation; GR conventions.	Cannot import the Einstein-Hilbert action, its boundary term, or thermodynamic interpretation into UDT.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S026	J11	ANALOGY_ONLY	UNIVERSAL_CONTROL	Einstein vacuum equations; hyperbolic reduction; gauge choice; constraint-preserving boundary conditions.	Cannot import Einstein evolution, gauge, or boundary conditions as UDT time law.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S027	J08	ANALOGY_ONLY	UNIVERSAL_CONTROL	Diffeomorphism-covariant Lagrangian theory; covariant phase space; specified boundary/asymptotic conditions and symmetries.	Cannot import the prescription or call a raw lapse flux native mass without a UDT Lagrangian phase space.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S028	J10	DIRECT_MATHEMATICAL_MATCH	OBSTRUCTION_OR_COUNTEREXAMPLE	Compact Riemannian manifolds; specified Laplace operator.	Cannot treat one spectrum or eigenvalue as a unique geometry or physical scale selector.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S029	J04	DIRECT_MATHEMATICAL_MATCH	OBSTRUCTION_OR_COUNTEREXAMPLE	A common Riemannian cover; almost-conjugate subgroups; invariant metric.	Cannot infer quotient topology or monodromy uniquely from spectral data.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S030	J10	DIRECT_MATHEMATICAL_MATCH	OBSTRUCTION_OR_COUNTEREXAMPLE	Specified Laplacian and boundary conditions; constructed transplantation geometry.	Cannot claim that a native eigenvalue or full spectrum alone selects the seal shape.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S031	J06	PARTIAL_HYPOTHESIS_MATCH	OBSTRUCTION_OR_COUNTEREXAMPLE	The paper's finite-dimensional second-order ODE setting and multiplier hypotheses.	Cannot conclude that a metric-derived equation has an action merely because an action is desired.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
S032	J06	DIRECT_MATHEMATICAL_MATCH	OBSTRUCTION_OR_COUNTEREXAMPLE	A specified differential equation on jet bundles; variational bicomplex/global topology hypotheses.	Cannot promote a local multiplier or reduced energy to a complete global UDT action.	GATED__NOT_APPLIED_AS_UDT_PHYSICS
