catch_id	result
missing_source	PASS__REJECTED:AssertionError
duplicate_source	PASS__REJECTED:AssertionError
missing_family	PASS__REJECTED:AssertionError
nonprimary_source	PASS__REJECTED:AssertionError
bad_join	PASS__REJECTED:AssertionError
missing_hypotheses	PASS__REJECTED:AssertionError
external_affirmative_role	PASS__REJECTED:AssertionError
missing_firewall	PASS__REJECTED:AssertionError
invalid_match_grade	PASS__REJECTED:AssertionError
untyped_return_question	PASS__REJECTED:AssertionError
wrong_schema	PASS__REJECTED:AssertionError
out_of_window_year	PASS__REJECTED:AssertionError
erase_locality_condition	PASS__REJECTED:semantic_guard
promote_eigenplane_to_holonomy	PASS__REJECTED:semantic_guard
adopt_external_action	PASS__REJECTED:semantic_guard
