claim	status	evidence	ceiling
smooth_central_metric_two_jet	DERIVED_CONDITIONAL_MODULO_RESIDUAL_GAUGE	production symbolic plus regularity and gauge audit	local X>0 spherical areal gauge only; individual n ell b are representatives
complete_observer_pullback_blocks	DERIVED_CONDITIONAL	exact null graph and direct pullback	one central outgoing radial query
terminal_phi_pair_quadratic	DERIVED_CONDITIONAL	production and independent coefficient recovery	declared smooth central class only
source_frequency_linear_channel	DERIVED_CONDITIONAL	production and independent metric geodesic	requires supplied source congruence; orientation dependent
areal_terminal_frequency_distinction	DERIVED_CONDITIONAL	exact unequal coefficient combinations	no universal scalar selector follows
angular_mixed_pre_readout_entry	DERIVED_CONDITIONAL_ACTIVE_QUERY	full pullback C_0A=R^2 w_A and phi contribution	passive relabeling is gauge; active instrument carry required; not universal mu
central_spherical_jacobi_isotropy	DERIVED_CONDITIONAL	rotational isometry plus affine ray	nonspherical and noncentral shear remain open
source_boundary_rank_atlas	DERIVED_CONDITIONAL	exact nullity and independent subspace ranks	boundary H supplied; QW additionally requires zero-order phase-point match
point_screen_worldtube_inequivalence	DERIVED_TYPE_RESULT	exact boundary-domain audit	no physical source law selected
three_spherical_face_full_match	DERIVED_CONDITIONAL	q_A=q_B=q_C iff common rank two	local jet does not furnish three global rays or select equality
physical_history_source_transfer_selection	OPEN	no owner in bounded calculation	no observational or cosmological conclusion
