identity_id	family_id	path_node	route	h	frobenius_obstruction	derivative_convergence_to_next_h
B3_R13_3_MB	M04_D	0	PRODUCTION_CANONICAL_EVALUATOR	0.0001	4.1529887112502819e-08	8.9700332057543834e-08
B3_R13_3_MB	M04_D	0	PRODUCTION_CANONICAL_EVALUATOR	5.0000000000000002e-05	1.0387309612349241e-08	2.2436910348487419e-08
B3_R13_3_MB	M04_D	0	PRODUCTION_CANONICAL_EVALUATOR	2.5000000000000001e-05	2.7579694891846073e-09	5.5349624117472584e-09
B3_R13_3_MB	M04_D	0	PRODUCTION_CANONICAL_EVALUATOR	1.2500000000000001e-05	1.0317354038743673e-09	nan
B3_R13_3_MB	M04_D	0	INDEPENDENT_ANALYTIC_JET	0.0001	4.150569053530885e-08	7.9943090022702242e-08
B3_R13_3_MB	M04_D	0	INDEPENDENT_ANALYTIC_JET	5.0000000000000002e-05	1.3657274977600273e-07	3.7736283692818829e-08
B3_R13_3_MB	M04_D	0	INDEPENDENT_ANALYTIC_JET	2.5000000000000001e-05	2.5865917060910325e-09	5.6069498123063307e-09
B3_R13_3_MB	M04_D	0	INDEPENDENT_ANALYTIC_JET	1.2500000000000001e-05	9.4832952471262114e-10	nan
B3_V007_MF	M04_D	16	PRODUCTION_CANONICAL_EVALUATOR	0.0001	3.5908721279177508e-08	6.1124755740162772e-08
B3_V007_MF	M04_D	16	PRODUCTION_CANONICAL_EVALUATOR	5.0000000000000002e-05	1.535040535551667e-07	2.9685958081533888e-08
B3_V007_MF	M04_D	16	PRODUCTION_CANONICAL_EVALUATOR	2.5000000000000001e-05	2.4752566999597624e-09	4.0349377254159062e-09
B3_V007_MF	M04_D	16	PRODUCTION_CANONICAL_EVALUATOR	1.2500000000000001e-05	6.1429688797939002e-10	nan
B3_V007_MF	M04_D	16	INDEPENDENT_ANALYTIC_JET	0.0001	3.5939671408492446e-08	6.447593474440756e-08
B3_V007_MF	M04_D	16	INDEPENDENT_ANALYTIC_JET	5.0000000000000002e-05	9.024275785710821e-09	1.6230154671774475e-08
B3_V007_MF	M04_D	16	INDEPENDENT_ANALYTIC_JET	2.5000000000000001e-05	2.0900371976547753e-09	3.9040605158738962e-09
B3_V007_MF	M04_D	16	INDEPENDENT_ANALYTIC_JET	1.2500000000000001e-05	4.2213295293406839e-10	nan
