catch_id	mutation	validator	rejection	result
P01_MISSING_PATH	path_count -= 1	validate_mutation_state	path count	MUTATION_REJECTED_AS_REQUIRED
P02_DUPLICATE_PATH	path_unique -= 1	validate_mutation_state	path uniqueness	MUTATION_REJECTED_AS_REQUIRED
P03_PROMOTE_TWO_PLANE	two-plane -1; timelike-line +1	validate_mutation_state	path census	MUTATION_REJECTED_AS_REQUIRED
P04_MISSING_COMPLEMENT_NODE	complement_count -= 1	validate_mutation_state	complement count	MUTATION_REJECTED_AS_REQUIRED
P05_DUPLICATE_COMPLEMENT_KEY	complement_unique -= 1	validate_mutation_state	complement uniqueness	MUTATION_REJECTED_AS_REQUIRED
P06_WRONG_REFINEMENT_COUNT	refinement_count = 3	validate_mutation_state	refinement count	MUTATION_REJECTED_AS_REQUIRED
P07_MISSING_LINE_PATH	line_count -= 1	validate_mutation_state	line count	MUTATION_REJECTED_AS_REQUIRED
P08_ERASE_FOUR_LINE_TWIST	four-line status count = 0	validate_mutation_state	line census	MUTATION_REJECTED_AS_REQUIRED
P09_IMPORT_CARRIER	carriers_loaded = 1	validate_mutation_state	carrier	MUTATION_REJECTED_AS_REQUIRED
P10_DROP_D_FROM_TIMELIKE_FAMILY	timelike_contains_D = false	validate_mutation_state	timelike D family	MUTATION_REJECTED_AS_REQUIRED
P11_SELECT_TIMELIKE_FUTURE	timelike_future = true	validate_mutation_state	timelike future	MUTATION_REJECTED_AS_REQUIRED
P12_FALSE_GLOBAL_TIME	timelike_global_time = true	validate_mutation_state	timelike global time	MUTATION_REJECTED_AS_REQUIRED
P13_FALSE_SNE_FIT	sne_fits = 1	validate_mutation_state	SNe fit	MUTATION_REJECTED_AS_REQUIRED
P14_DROP_D_FROM_SPACELIKE_FAMILY	spacelike_contains_D = false	validate_mutation_state	spacelike D family	MUTATION_REJECTED_AS_REQUIRED
P15_SELECT_SPACELIKE_BRANCH	spacelike_physical = true	validate_mutation_state	spacelike branch	MUTATION_REJECTED_AS_REQUIRED
P16_FALSE_INTRALEAF_TIME	spacelike_intraleaf_time = true	validate_mutation_state	spacelike intraleaf time	MUTATION_REJECTED_AS_REQUIRED
P17_FALSE_FULL_CONNECTOR	full_connectors = 1	validate_mutation_state	full connector	MUTATION_REJECTED_AS_REQUIRED
P18_IMPORT_ACTION	actions_loaded = 1	validate_mutation_state	action	MUTATION_REJECTED_AS_REQUIRED
P19_SOURCE_MUTATION	source_integrity = false	validate_mutation_state	source integrity	MUTATION_REJECTED_AS_REQUIRED
P20_INDEPENDENCE_FALSE	production_builder_imported = true	validate_mutation_state	independence	MUTATION_REJECTED_AS_REQUIRED
