transform_id	kind	local_temporal_class	path_presentations	node_presentations	invariance_basis	status
C00_IDENTITY	COORDINATE	LORENTZ_TWO_PLANE_ONLY	7845	133365	P_PRIME=J_INV_P_J__G_PRIME=J_TRANSPOSE_G_J__RESTRICTION_CONGRUENCE	EXACT_CLASS_INVARIANCE_FOR_ALL_RETAINED_PRESENTATIONS
C00_IDENTITY	COORDINATE	NO_PROPER_INTRINSIC_TEMPORAL_SUBSPACE	82140	1396380	P_PRIME=J_INV_P_J__G_PRIME=J_TRANSPOSE_G_J__RESTRICTION_CONGRUENCE	EXACT_CLASS_INVARIANCE_FOR_ALL_RETAINED_PRESENTATIONS
C00_IDENTITY	COORDINATE	RANK_ONE_LINE_SPACELIKE__LORENTZ_COMPLEMENT	2160	36720	P_PRIME=J_INV_P_J__G_PRIME=J_TRANSPOSE_G_J__RESTRICTION_CONGRUENCE	EXACT_CLASS_INVARIANCE_FOR_ALL_RETAINED_PRESENTATIONS
C00_IDENTITY	COORDINATE	TRANSITION_OR_NUMERICALLY_UNCERTAIN	1312	22304	P_PRIME=J_INV_P_J__G_PRIME=J_TRANSPOSE_G_J__RESTRICTION_CONGRUENCE	EXACT_CLASS_INVARIANCE_FOR_ALL_RETAINED_PRESENTATIONS
C00_IDENTITY	COORDINATE	UNIQUE_LOCAL_UNORIENTED_TIMELIKE_LINE	1775	30175	P_PRIME=J_INV_P_J__G_PRIME=J_TRANSPOSE_G_J__RESTRICTION_CONGRUENCE	EXACT_CLASS_INVARIANCE_FOR_ALL_RETAINED_PRESENTATIONS
C01_BLOCK_GENERAL	COORDINATE	LORENTZ_TWO_PLANE_ONLY	7845	133365	P_PRIME=J_INV_P_J__G_PRIME=J_TRANSPOSE_G_J__RESTRICTION_CONGRUENCE	EXACT_CLASS_INVARIANCE_FOR_ALL_RETAINED_PRESENTATIONS
C01_BLOCK_GENERAL	COORDINATE	NO_PROPER_INTRINSIC_TEMPORAL_SUBSPACE	82140	1396380	P_PRIME=J_INV_P_J__G_PRIME=J_TRANSPOSE_G_J__RESTRICTION_CONGRUENCE	EXACT_CLASS_INVARIANCE_FOR_ALL_RETAINED_PRESENTATIONS
C01_BLOCK_GENERAL	COORDINATE	RANK_ONE_LINE_SPACELIKE__LORENTZ_COMPLEMENT	2160	36720	P_PRIME=J_INV_P_J__G_PRIME=J_TRANSPOSE_G_J__RESTRICTION_CONGRUENCE	EXACT_CLASS_INVARIANCE_FOR_ALL_RETAINED_PRESENTATIONS
C01_BLOCK_GENERAL	COORDINATE	TRANSITION_OR_NUMERICALLY_UNCERTAIN	1312	22304	P_PRIME=J_INV_P_J__G_PRIME=J_TRANSPOSE_G_J__RESTRICTION_CONGRUENCE	EXACT_CLASS_INVARIANCE_FOR_ALL_RETAINED_PRESENTATIONS
C01_BLOCK_GENERAL	COORDINATE	UNIQUE_LOCAL_UNORIENTED_TIMELIKE_LINE	1775	30175	P_PRIME=J_INV_P_J__G_PRIME=J_TRANSPOSE_G_J__RESTRICTION_CONGRUENCE	EXACT_CLASS_INVARIANCE_FOR_ALL_RETAINED_PRESENTATIONS
