interpretation_id	axis_id	axis	disposition	basis	merit_filter
I01	A01	object_and_arrow_type	FOUNDING_DERIVED	An ordered abstract comparison with supplied signed depth is the domain of D(delta).	NONE_CHARACTERIZE_ONLY
I01	A02	direct_founding_words_or_equations	FOUNDING_DERIVED	The source explicitly begins from relative depth Delta, then derives reciprocal scaling.	NONE_CHARACTERIZE_ONLY
I01	A03	observer_worldline_and_frame	OPEN_NOT_OWNED	No physical observer worldline or tetrad is defined by the founding equations.	NONE_CHARACTERIZE_ONLY
I01	A04	event_pairing	OPEN_NOT_OWNED	Source and target roles do not pair spacetime events.	NONE_CHARACTERIZE_ONLY
I01	A05	ruler_direction_and_evolution	OPEN_NOT_OWNED	No ruler direction or evolution law appears in the founding source.	NONE_CHARACTERIZE_ONLY
I01	A06	local_pair_map	OPEN_NOT_OWNED	D(delta) acts after delta is supplied; it does not construct a pair surface.	NONE_CHARACTERIZE_ONLY
I01	A07	branch_or_path_at_cut_locus	OPEN_NOT_OWNED	The abstract character contains no cut-locus or branch rule.	NONE_CHARACTERIZE_ONLY
I01	A08	cE_calibration_normalization	FOUNDING_DERIVED	c_E dimension-matches clock and ruler channels, but only at the algebraic calibration level.	NONE_CHARACTERIZE_ONLY
I01	A09	middle_observer_transition	OPEN_NOT_OWNED	Composition assumes matched abstract depths; no physical middle calibration identification is defined.	NONE_CHARACTERIZE_ONLY
I01	A10	reversal_and_frame_reciprocity	FOUNDING_DERIVED	D(b)D(a)=D(a+b), D(a)^-1=D(-a), and abstract source-target reversal are exact.	NONE_CHARACTERIZE_ONLY
I01	A11	terminal_phi_pair_ceff_compatibility	OUTPUT_COMPATIBLE_NOT_SELECTOR	The terminal evaluator reduces to this character once a calibrated pair metric is supplied.	NONE_CHARACTERIZE_ONLY
I01	A12	maximum_justified_interpretation	FOUNDING_DERIVED	The foundation owns the ordered-depth character, not the observer-to-depth realization.	NONE_CHARACTERIZE_ONLY
I02	A01	object_and_arrow_type	QUERY_SUPPLIED_NOT_FOUNDING_DERIVED	Two framed observer worldlines define objects but still only a hom-set of possible comparisons.	NONE_CHARACTERIZE_ONLY
I02	A02	direct_founding_words_or_equations	OPEN_NOT_OWNED	The founding source does not explicitly define observer as worldline plus proper clock plus tetrad.	NONE_CHARACTERIZE_ONLY
