object	status	label	scope	open_or_forbidden
founded_reciprocal_character	DERIVED	DERIVED	supplied ordered signed depth only	observer/event/path-to-depth realization remains open
ordered_source_target_roles	DERIVED	DERIVED	abstract comparison group/order	order does not select one arrow from Hom(A,B)
observer_worldlines_and_frames	LEGITIMATE_DECLARED_QUERY	QUERY_SUPPLIED	physical observer query	not explicitly derived by founding equations
event_pairing	NOT_FOUNDING_OWNED	OPEN	physical observer events	no SR/GR simultaneity import
ruler_germ_and_evolution	LEGITIMATE_DECLARED_QUERY	QUERY_SUPPLIED	local pair construction	no Fermi-Walker or other transport imported
local_exponential_pair_tube	DERIVED_AFTER_FULL_QUERY	CONDITIONAL	regular normal branch	not universal or global
cut_locus_output	BRANCH_LABELLED_RELATION	DERIVED	complete metric after query	no branch postselection
cE_origin_calibration	DERIVED_AND_OBSERVED	DERIVED	local proper-clock/unit-ruler origin	not event pairing path direction or branch
frame_reciprocity	NATURALITY_REVERSAL_COMPOSITION_GATE	DERIVED	matched declared relations	not an existence or uniqueness selector
terminal_pair_readout	DERIVED_ON_SUPPLIED_REGULAR_CALIBRATED_H	DERIVED	fixed pair map and calibration	not universal physical phi without relation ownership
middle_calibration_transition	NOT_OWNED	OPEN	three-observer compatible family	cE local normalization alone is insufficient
global_pair_relation_functor	CONDITIONAL_QUERY_ENRICHMENT	CONDITIONAL	local positive route; global compatibility open	not a new action or source
Xmax_asymptote	NECESSARY_POST_REALIZATION_GATE	WORKING	realized observer-pair relation	not a map profile or branch selector

