downstream_object	previous_question	corrected_status	consequence
independent_phi_equation	is_a_new_scalar_equation_required_to_define_depth	NOT_REQUIRED_FOR_TERMINAL_READOUT_ON_SUPPLIED_PAIR_METRIC	phi_pair_is_relational_log_imbalance; a physical solution/profile law remains open
universal_nonmetric_connection	must_a_nonisometric_tangent_connection_generate_depth	NOT_REQUIRED_FOR_TERMINAL_PAIR_READOUT	may_still_appear_in_dynamics_but_is_not_the_missing_algebraic_readout
full_GL_arrow_cocycle	must_every_complete_GL_arrow_carry_the_physical_depth	WRONG_OVERSIZED_ARENA_FOR_PAIR_SURFACE_COMPOSITION	matched_pair_relations_and_calibration_states_are_the_relevant_type
observer_reciprocity	can_frame_equivalence_select_event_pairing_or_branch	CONSTRAINT_NOT_SELECTOR	use_as_covariance_reversal_and_composition_gate
cE_can_select_position	does_fixed_cE_locate_B_before_geometry	NO__CE_IS_LOCAL_CALIBRATION_AND_TERMINAL_REFERENCE	complete_pair_geometry_locates_B_then_the_reciprocal_ratio_is_evaluated
angular_orchestra	is_angular_data_an_added_correction_after_phi	UPSTREAM_COMPLETE_PAIR_GEOMETRY	angular_mixing_global_geometry_modify_h_before_terminal_readout
SNe_WRL_relation	does_semantic_regrade_change_the_fit	NO_NUMERICAL_CHANGE__CONDITIONAL_RELATION_ANCHOR_RETAINED	complete_metric_realization_and_global_join_remain_open
native_action_source_boundary	does_query_ownership_close_complete_physics	OPEN_UNCHANGED	these_may_select_realized_complete_solutions_not_define_terminal_readout
bootstrap	does_query_semantics_derive_global_local_fixed_point	OPEN_WORKING_HYPOTHESIS	may_govern_compatible_solution_families_and_background_not_local_formula

