sha256	path	source_ref
b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	1ab46192:UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md
0995eaa36f5281c0dcd1662b6050950476e1ca992f59e18840ec9dc9aca0da60	udt_founding_observer_comparison_semantics_audit_2026-07-27/EXACT_ADJUDICATION.md	1ab46192:udt_founding_observer_comparison_semantics_audit_2026-07-27/EXACT_ADJUDICATION.md
3a81c5c5b6c23218d9bfe26135c6b8225e0e41235aac712dfbdae5b53b4006fe	udt_native_reciprocal_comparison_bundle_audit_2026-07-27/EXACT_DERIVATION.md	1ab46192:udt_native_reciprocal_comparison_bundle_audit_2026-07-27/EXACT_DERIVATION.md
7e03ef2631908a1e26c636bb9beb7410bdc534c9fde1e15d37eb9de5efadf29d	udt_observer_pair_clock_operator_audit_2026-07-24/EXACT_DERIVATION.md	1ab46192:udt_observer_pair_clock_operator_audit_2026-07-24/EXACT_DERIVATION.md
a15c22901f5f8f9401fb53b04cff23a0b14c3c5f56ac7bb4f3b23882d247669e	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md	1ab46192:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md
fa0e31b16df98c3af3cf4aec878c4369642945ce35de20ab8e13b91eaf135e7a	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	1ab46192:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md
aca7063029271813941e0f04e8b60124ee6e5e8abe01412bcf8d98c3743b4e5a	udt_calibrated_pair_map_owner_atlas_2026-08-09/AUDIT_REPORT.md	1ab46192:udt_calibrated_pair_map_owner_atlas_2026-08-09/AUDIT_REPORT.md
b965112f2e8250a4a11721102f7edae5b1636be2d836241e1c3e1f482f3e9422	udt_calibrated_pair_map_owner_atlas_2026-08-09/EXACT_DERIVATION.md	1ab46192:udt_calibrated_pair_map_owner_atlas_2026-08-09/EXACT_DERIVATION.md
c1d319d4cab194158517005b49469d53e387537f1d834660e55ca2cee11ce564	udt_calibrated_pair_map_owner_atlas_2026-08-09/NEXT_STEP.md	1ab46192:udt_calibrated_pair_map_owner_atlas_2026-08-09/NEXT_STEP.md
eabfad044b0caf404a7bfab8dfa2462e3a68cf7a578e67451c86baf8b95aa71a	udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md	1ab46192:udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md
8045a1a26727812289fff57e9a958df6fd4ff8e997db6fc3576cbc2b845cb598	udt_reciprocal_calibration_state_solder_audit_2026-08-09/EXACT_DERIVATION.md	1ab46192:udt_reciprocal_calibration_state_solder_audit_2026-08-09/EXACT_DERIVATION.md
ce96774a1dcdefb690f716a6c69aa6cdf5c155e6cff051137f8efe9b0eb1a77c	udt_complete_pair_phi_orchestra_audit_2026-08-05/EXACT_DERIVATION.md	1ab46192:udt_complete_pair_phi_orchestra_audit_2026-08-05/EXACT_DERIVATION.md
8860dbefd6e99f4f9de966497f56022b268d2e0d1299383354b457d60480c638	udt_xmax_asymptotic_limit_frame_correction_2026-08-05/STATUS_AND_WORKFLOW.md	1ab46192:udt_xmax_asymptotic_limit_frame_correction_2026-08-05/STATUS_AND_WORKFLOW.md
6097361972086ead4d9f780f87dd1bf7e2aa7a0dc1fb6eee567cd72bcca03c29	CURRENT_SCIENTIFIC_PREMISES.tsv	1ab46192:CURRENT_SCIENTIFIC_PREMISES.tsv
4fc4c5c23cb6141dd4dc20b6951ee167d07fbf662b7ca2c895582f61b7a8bf7d	CURRENT_RESEARCH_PROGRAM.md	1ab46192:CURRENT_RESEARCH_PROGRAM.md
