stratum_id	class	input_status	question
C01	GENERAL_TIME_LIVE_FINITE_CELL	free_and_explored	Does_metric_supply_intrinsic_time_line_or_depth_without_symmetry
C02	STATIONARY_NO_GLOBAL_TIMELIKE_KILLING	free_and_explored	Does_stationarity_chart_alone_supply_physical_clock
C03	STATIONARY_MULTIPLE_TIMELIKE_KILLING_LINES	free_and_explored	Is_depth_unique_without_line_selector
C04	UNIQUE_TIMELIKE_KILLING_CONSTANT_NORM	free_and_explored	Does_intrinsic_line_supply_nontrivial_depth
C05	UNIQUE_TIMELIKE_KILLING_NONCONSTANT_NORM_TWIST_ZERO	free_and_explored	Does_norm_supply_endpoint_depth_only
C06	UNIQUE_TIMELIKE_KILLING_NONCONSTANT_NORM_TWIST_NONNULL	free_and_explored	Do_norm_and_twist_supply_intrinsic_pair
C07	TIMELIKE_KILLING_CAUSAL_DEGENERATION	free_and_explored	Where_does_stationary_readout_fail_or_need_patching
C08	BOUNDARY_OR_CAP_COMPLETE_CELL	all_registered_completion_types	What_descent_and_regularity_conditions_are_required
C09	QUOTIENT_MONODROMY_OR_NONORIENTABLE_CELL	all_registered_completion_types	Does_line_or_orientation_descend
C10	TWISTED_S3_GLOBAL_COFRAME	conditional_explicit_witness	Is_the_shifted_class_nonempty_and_globally_regular
C11	STATIC_GENERIC_LAPSE_S3	conditional_explicit_control	Can_the_metric_select_a_unique_stationary_line_in_a_bounded_control
C12	ULTRASTATIC_ROUND_OR_SQUASHED_S3	frozen_controls	Does_prior_zero_depth_result_replay
