gate_id	property	pass_condition	failure_meaning
G01	GLOBAL_SMOOTH_COFRAME	forms_and_coefficients_smooth_global_and_determinant_nonzero	configuration_not_complete_regular
G02	LORENTZ_SIGNATURE	one_negative_three_positive_coframe_norms	invalid_metric_stratum
G03	SPACELIKE_CELL_SLICE	R2_exp_2phi_gt_a2_exp_minus_2phi_in_W01	chosen_t_slice_not_spacelike
G04	INTRINSIC_TIMELIKE_LINE	one_dimensional_metric_isometry_line_or_other_metric_unique_line	coordinate_stationarity_only
G05	POSITIVE_CLOCK_NORM	Q=sqrt_minus_gKK_positive_everywhere	stationary_observer_channel_breaks
G06	NONTRIVIAL_CLOCK_DEPTH	Q_nonconstant	only_identity_depth
G07	NORMALIZATION_INDEPENDENCE	delta_invariant_under_K_to_constant_times_K	K_normalization_is_extra_scale
G08	SIGNED_REVERSAL_ODD	delta_BA_equals_minus_delta_AB	cannot_label_founded_real_character
G09	ADDITIVE_COMPOSITION	delta_AB_plus_delta_BC_equals_delta_AC	cannot_label_founded_real_character
G10	FOUNDED_CLOCK_ALIGNMENT	Q_over_c_reference_equals_exp_minus_phi_in_supplied_readout	clock_ratio_not_joined_to_founded_phi
G11	METRIC_DERIVED_RULER_LINE	twist_or_other_intrinsic_spatial_one_form_nonzero	depth_only_not_full_pair
G12	ORTHOGONAL_SPACELIKE_RULER	g_inverse_twist_twist_positive_and_twist_K_zero	invalid_ruler_type
G13	RECIPROCAL_RULER_WEIGHT	theta1_weight_equals_exp_plus_phi	ruler_not_founded_pair
G14	GLOBAL_DESCENT	K_line_twist_line_and_metric_descend_through_completion	local_only
G15	PATH_SEMANTICS_DISCLOSURE	stationary_endpoint_depth_not_promoted_to_universal_semantics	category_error
G16	ON_SHELL_STATUS_DISCLOSURE	configuration_not_called_solution	unauthorized_dynamics
