path	role	allowed_use	known_limit
CURRENT_SCIENTIFIC_PREMISES.md	current_precedence	founded_phi_pair_action_and_open_extension	operational_not_canon
CURRENT_SCIENTIFIC_PREMISES.tsv	exact_current_registry	G01_G02_G08_status	complete_realization_open
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	founding_derivation	reciprocal_weights_and_local_readout	profile_and_global_branch_open
udt_founding_observer_comparison_semantics_audit_2026-07-27/AUDIT_REPORT.md	semantic_frontier	abstract_operator_derived_complete_semantics_open	no_lambda_selection
udt_founded_pair_global_alignment_audit_2026-07-26/AUDIT_REPORT.md	local_pair_authority	intrinsic_local_clock_ruler_pair_given_readout	global_pair_open
udt_complete_branch_founded_pair_pullback_audit_2026-07-26/AUDIT_REPORT.md	complete_branch_gap	no_registered_nontrivial_clock_complete witness	future_branch_not_no_go
udt_complete_branch_founded_pair_pullback_audit_2026-07-26/EXACT_DERIVATION.md	complete_controls	round_squashed_WRL_separation	no_cross_branch splice
udt_metric_native_signed_depth_availability_audit_2026-07-26/AUDIT_REPORT.md	depth_requirements	six_gate_native_depth classification	future_complete_metric route open
udt_metric_native_signed_depth_availability_audit_2026-07-26/EXACT_DERIVATION.md	depth_algebra	Killing_norm_like_endpoint_ratio_and_connection obstruction	no selected metric object
udt_complete_relational_configuration_variation_domain_audit_2026-07-26/AUDIT_REPORT.md	configuration typing	metric_pair_path_parameter_and_gauge layers	variation not selected
udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	global completion atlas	twelve completion classes and transport	no selected quotient or dynamics
udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	completion universe	exact_twelve class identities	structural rows may lack metrics
udt_clock_angular_solder_regularity_audit_2026-07-24/AUDIT_REPORT.md	prior obstruction	static_diagonal_same_scalar_two_cap failure	shifted_twisted_time_live_remain open
udt_clock_angular_solder_regularity_audit_2026-07-24/EXACT_DERIVATION.md	cap algebra	exact bounded obstruction	must_not_apply_to_shifted class
udt_observer_pair_clock_operator_audit_2026-07-24/EXACT_DERIVATION.md	clock readout	stationary_lapse_ratio_type distinction	physical event pairing open
udt_observer_longitudinal_transverse_cocycle_audit_2026-07-24/AUDIT_REPORT.md	common_path readout	clock_log_ratio_composes_given data	founding identity conditional
reciprocal_line_realization_selector_2026-07-18/DERIVATION_REPORT.md	historical selector audit	static_Killing_line_conditional route	predates_phi_correction_and_current precedence
reciprocal_line_realization_selector_2026-07-18/STATUS_LEDGER.tsv	historical status	bounded_static_Killing caveats	no current demotion of founded_phi
udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md	global_pair bundle	all_lambda_pathwise_lambda_one_endpoint conditional	no physical semantics selected
