id	object	status	exact_scope	remaining_open
S01	general_stationary_finite_cell_metric	DERIVED_CONFIGURATION_PARAMETERIZATION	chosen_product_and_time_orientation	stationarity_selection
S02	twisted_reciprocal_S3_coframe	COMPLETE_REGULAR_CONFIGURATION_FAMILY	all_smooth_phi_all_real_lambda_strict_slice_inequality	field_equation_or_physical_profile
S03	Killing_norm_depth_formula	DERIVED_EXACT	any_intrinsic_timelike_Killing_line_with_positive_norm	universal_line existence
S04	static_generic_lapse_S3_Killing_line	DERIVED_INTRINSIC_IN_CONTROL	full_static_Killing_equations_round_h_and_distinct_quadratic_lapse	founded_ruler line
S05	static_generic_lapse_S3_depth	DERIVED_METRIC_NATIVE_CONDITIONAL_BRANCH	stationary_observers_on_W02	universal observer semantics
S06	twisted_S3_Killing_twist_line	DERIVED_GIVEN_STATIONARY_LINE	W01_a_kappa_nonzero	full_metric_uniqueness_of_K_line
S07	twisted_S3_founded_ruler_weight	DERIVED_BY_CONFIGURATION	W01_supplied_global_reciprocal_coframe	metric_only recovery without K uniqueness
S08	complete_intrinsic_stationary_pair theorem	DERIVED_CONDITIONAL	unique_timelike_K_line_nonconstant_norm_nonzero_twist_founded_weight_and_descent	explicit_single all_gate witness
S09	all_gate_complete_intrinsic_pair_witness	OPEN	W01_and_W02_may_not_be_spliced	construct_or_prove within one metric
S10	endpoint_depth_in_stationary_stratum	DERIVED_CONDITIONAL	log_Killing_norm_ratio	global_endpoint versus path semantics
S11	lambda	OPEN	all_real_configuration family	physical selector
S12	other_completion_classes	OPEN_OR_CONDITIONAL	eleven_registered structural families	actual_metrics_and_descent
S13	time_live_no_Killing_stratum	OPEN	retained_not tested by stationary theorem	metric_native depth type
S14	action_variation_source_boundary_density_bootstrap_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL	outside_audit	complete_physics
S15	overall	VERIFIED_WITH_CAVEATS_BOUNDED_CONFIGURATION_AND_STATIONARY_DEPTH	law_neutral complete S3 controls	no_on_shell_or universal closure
