catch_id	corruption_or_overclaim	required_rejection
F01	coordinate_t_called_intrinsic_without_unique_line	FAIL_G04
F02	Killing_norm_zero_or_sign_change_ignored	FAIL_G05
F03	constant_norm_called_nontrivial_depth	FAIL_G06
F04	K_rescaling_changes_reported_delta	FAIL_G07
F05	symmetric_nonnegative_distance_substituted_for_signed_depth	FAIL_G08
F06	nonadditive_clock_map_accepted	FAIL_G09
F07	K_flat_wedge_dK_flat_twist_direction_miscalculated	FAIL_G11_OR_G12
F08	a_equals_zero_called_twisted_pair	FAIL_G11
F09	spatial_slice_degeneracy_crossed_silently	FAIL_G03
F10	global_left_invariant_forms_treated_as_coordinate_cap_singular	FAIL_G01
F11	distinct_di_stabilizer_accepts_nonzero_so4_generator	FAIL_G04_CONTROL
F12	full_Killing_uniqueness_claimed_from_split_preserving_control	SCOPE_FAILURE
F13	lambda_selected_by_configuration_existence	SCOPE_FAILURE
F14	stationary_endpoint_depth_promoted_to_universal_endpoint_semantics	FAIL_G15
F15	configuration_called_on_shell_or_stable	FAIL_G16
F16	WRL_lapse_spliced_into_S3	PROVENANCE_FAILURE
F17	action_source_density_bootstrap_mass_or_Xmax_inferred	SCOPE_FAILURE
F18	time_live_stratum_deleted_by_stationary_witness	COVERAGE_FAILURE
