catch_id	status	exercised_corruption
F01	PASS	coordinate_t_called_intrinsic_without_unique_line
F02	PASS	Killing_norm_zero_or_sign_change_ignored
F03	PASS	constant_norm_called_nontrivial_depth
F04	PASS	K_rescaling_changes_reported_delta
F05	PASS	symmetric_nonnegative_distance_substituted_for_signed_depth
F06	PASS	nonadditive_clock_map_accepted
F07	PASS	Killing_twist_direction_miscalculated
F08	PASS	a_zero_called_twisted_pair
F09	PASS	spatial_slice_degeneracy_crossed_silently
F10	PASS	global_forms_called_coordinate_cap_singular
F11	PASS	distinct_di_accepts_nonzero_so4_stabilizer
F12	PASS	full_Killing_uniqueness_claimed_from_split_only_control
F13	PASS	lambda_selected_by_configuration_existence
F14	PASS	stationary_depth_promoted_to_universal_endpoint_semantics
F15	PASS	configuration_called_on_shell_or_stable
F16	PASS	WRL_lapse_spliced_into_S3
F17	PASS	downstream_physics_inferred
F18	PASS	time_live_stratum_deleted
