premise_id	premise	status	use	not_supplied
P01	founded_phi_and_reciprocal_pair_action	pinned_by_THEORY	clock_ruler_weights	profile_or_complete branch
P02	local_physical_pair_readout	DERIVED_CONDITIONAL_ON_RECORDED_READOUT	interpret_supplied_coframe pair	global_pair section
P03	observer_frame_reciprocity	OWNER_FOUNDING_MACRO	covariance_no_preferred_law	identical_solution_isometries
P04	complete_metric_configuration	free_and_explored	law_neutral_arena	field_equation
P05	stationarity	free_and_explored_stratum	Killing_norm route	universal UDT property
P06	unique_timelike_Killing_line	free_and_tested_property	intrinsic_clock line	assumed universal existence
P07	time_orientation	pinned_by_metric_readout	choose_future_sign	K_normalization
P08	S3_completion	conditional_complete_control	explicit_global witness	unique_selected topology
P09	global_Maurer_Cartan_coframe	conditional_witness input	avoid_coordinate_cap artifacts	metric_selected orientation
P10	phi_profile	free_and_explored_smooth	nontriviality and exact identities	field equation or preferred function
P11	lambda	free_and_explored_all_real	screen response	selection
P12	twist_parameter_a	free_and_explored	clock_angular mixing	physical value
P13	c_E	OBSERVED_ANCHOR	clock_length calibration	depth profile
P14	R_and_kappa	free_and_explored_positive_or_nonzero	global scale and Maurer_Cartan normalization	physical selection
P15	endpoint_vs_path_semantics	OPEN	stationary branch consequence only	universal ruling
P16	action_variation_source_boundary_density_bootstrap_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL	excluded	downstream physics
