gate_id	W01_twisted	W02_static_intrinsic	global_ruling
G01	PASS	PASS	GLOBAL_S3_FORMS_REMOVE_COORDINATE_CAP_ARTIFACT
G02	PASS	PASS	COFRAME_CONGRUENCE_GIVES_LORENTZ_SIGNATURE
G03	CONDITIONAL_STRICT_INEQUALITY	PASS	SLICE_BOUNDARY_EXPLICIT
G04	OPEN_FULL_UNIQUENESS	PASS_EXACT_STATIC_CONTROL	INTRINSIC_DEPTH_EXISTS_IN_W02_NOT_YET_FULL_TWISTED_PAIR
G05	PASS	PASS	K_TIMELIKE_EVERYWHERE
G06	PASS_IF_PHI_NONCONSTANT	PASS_IF_EPSILON_NONNULL_AND_DI_DISTINCT	NONTRIVIAL_CONFIGURATIONS_EXIST
G07	PASS	PASS	LOG_NORM_RATIO_CANCELS_CONSTANT_K_SCALE
G08	PASS	PASS	DELTA_QP_EQUALS_MINUS_DELTA_PQ
G09	PASS	PASS	THREE_ENDPOINT_TELESCOPING
G10	PASS	PASS	DELTA_EQUALS_PHI_Q_MINUS_PHI_P
G11	PASS_IF_AKAPPA_NONNULL	FAIL_TWIST_ZERO	TWIST_SUPPLIES_RULER_LINE_ONLY_IN_W01
G12	PASS_IF_AKAPPA_NONNULL	NOT_APPLICABLE	TWIST_LINE_SPACELIKE_ORTHOGONAL
G13	PASS_BY_SUPPLIED_THETA1	FAIL_CONTROL_HAS_NO_FOUNDED_RULER	FULL_PAIR_REMAINS_CONDITIONAL
G14	PASS_ON_GLOBAL_S3_WITNESSES	PASS_ON_GLOBAL_S3	OTHER_COMPLETION_CLASSES_REQUIRE_SEPARATE_DESCENT
G15	PASS	PASS	NO_GLOBAL_SEMANTIC_PROMOTION
G16	PASS	PASS	CONFIGURATIONS_NOT_SOLUTIONS
