role	path	sha256
source-first seal	SOURCE_FIRST_REQUIREMENTS.md	eb8d61a2674b08e3f6534048d4be2b879b26b628557c579ac331da2978e0ec69
initial grouped scientific review	ADVERSARIAL_REVIEW_INITIAL.md	273b0827da26bd8def82b576945e711f5db343a2ec243ad4f1ef3a7c1a1bcde0
execution record	EXECUTION_RECORD.md	b5eef66d65a46e5aa104ceca12585695cca9310f096327ebed9b3246a7ee0ca2
independent exact rational checker	independent_interface_check.py	06c96d1df44bc67f697ebbe9a6100cdc0f281e20d681e61fdb7ed7c423cb8071
independent stdout	independent_checks_initial.stdout	120f9d258e372983bf4cce7aa46fdc282a13d8fe89472d92d77ed293d761bc68
independent stderr	independent_checks_initial.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
independent resource capture	independent_checks_initial.json	b372b4cf4b5ef1c28bca830d5647c9bbfa15268bcb1a43ccffa619d4cdbf3e34
author replay stdout	author_replay_initial.stdout	3c3844abc627c9aa1eeebbf3c4e2b4f2b9d805e82a570daadd15256443a56e2c
author replay stderr	author_replay_initial.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
author replay resource capture	author_replay_initial.json	b6dcf5cf51a0fd048d0217e3613244c20b0e38a189e9ffec24032af83fbca3f8
reviewed candidate	../CANDIDATE_INITIAL.md	7178ad76d6fb20d7b590b65ffc5a3dc7133c22e7ca612b38375322b8d5b5b009
reviewed author script	../check_interface.py	8a34a9e57a2b5fab7f67586e6bff6398f76effe4b8f68407fa43f124ca40a416
reviewed author saved stdout	../author_checks_initial.stdout	3c3844abc627c9aa1eeebbf3c4e2b4f2b9d805e82a570daadd15256443a56e2c
