source_path	archived_path	sha256	line_count	status
AGENTS.md	archive/startup_surface_2026-08-14/AGENTS_before_cleanup.md	4c4acf412daeb2761a19a3877ac1e589c69572d9c65c8a6fc5756789f7945bb3	347	VERBATIM_PRE_CLEANUP
LIVE.md	archive/startup_surface_2026-08-14/LIVE_before_cleanup.md	4edd35923db884a14ca8d1995119184044abbc9d3897229d1a2fee5dab63928a	1314	VERBATIM_PRE_CLEANUP
HANDOFF.md	archive/startup_surface_2026-08-14/HANDOFF_before_cleanup.md	2f307c1a4c8972a9b8e6aa9cb66a8f30b33a0d2d9427621f66dbb05e8738b56f	839	VERBATIM_PRE_CLEANUP
INDEX.md	archive/startup_surface_2026-08-14/INDEX_before_cleanup.md	abb7bb9a9bf46478ca21a5fa8ff51f594ee0a370e081aaae0c6fb580b9b2f386	527	VERBATIM_PRE_CLEANUP
MEMORY.md	archive/startup_surface_2026-08-14/MEMORY_before_cleanup.md	fc9aef1bcd82e25f3e0f09bd7aed16fd2def3d85c0f8823c7439bce865b50f71	471	VERBATIM_PRE_CLEANUP
CURRENT_RESEARCH_PROGRAM.md	archive/startup_surface_2026-08-14/CURRENT_RESEARCH_PROGRAM_before_cleanup.md	714a6d3fde1709289863f19cd3e134cc968a3f6972df8671d111eee5d4e7b3e8	759	VERBATIM_PRE_CLEANUP
CURRENT_SCIENTIFIC_PREMISES.md	archive/startup_surface_2026-08-14/CURRENT_SCIENTIFIC_PREMISES_before_cleanup.md	e4e936e4408ced06ce2633462c0b9aaf3491e0a2ce56a2e5b484f53fe68dfcdb	917	VERBATIM_PRE_CLEANUP
README.md	archive/startup_surface_2026-08-14/README_before_cleanup.md	d25c29b891a702345c06bc9767ccb38cdb345c0dc53cef106768f3dc2baf8ea9	452	VERBATIM_PRE_CLEANUP
research/README.md	archive/startup_surface_2026-08-14/research_README_before_cleanup.md	a66a5653ead353b6c124ae2fa451ff61aef22080519a8ad05e64e4ad742ddfe8	308	VERBATIM_PRE_CLEANUP
research/_registry/README.md	archive/startup_surface_2026-08-14/research_registry_README_before_cleanup.md	74ca21670526a7b6a1731b514b35be32ec0d93a415627c4140f0337f7db16224	232	VERBATIM_PRE_CLEANUP
INFLIGHT_STATE.md	archive/startup_surface_2026-08-14/INFLIGHT_STATE_before_cleanup.md	0ab4394549b72f17a4fbdee75425d1da91a75d8d5cb13da5bb8051e7a748704f	278	VERBATIM_PRE_CLEANUP
verify_current_scientific_premises.py	archive/startup_surface_2026-08-14/verify_current_scientific_premises_before_cleanup.py	f2abb9928bab03960fdfe7bb1283419abd3c04d63eab301eaa7326f10adb236c	1411	VERBATIM_PRE_CLEANUP
tests/test_startup_surface.py	archive/startup_surface_2026-08-14/test_startup_surface_before_cleanup.py	4e293c1d2204d2ec4d4c1b71f9f3dec62a43ce75ca32e899b15dcb195c0aee76	420	VERBATIM_PRE_CLEANUP
