causal_status	local_temporal_class	motif	coframe_join_status	complement_status	path_presentations
IDENTICALLY_ZERO_DPHI_INTERVAL	LORENTZ_TWO_PLANE_ONLY	TWO_PLUS_TWO_LINES	NO_PHI_GRADIENT_JOIN	NOT_A_UNIQUE_TIMELIKE_LINE_PATH	4020
IDENTICALLY_ZERO_DPHI_INTERVAL	NO_PROPER_INTRINSIC_TEMPORAL_SUBSPACE	FULL_IRREDUCIBLE_4	NO_PHI_GRADIENT_JOIN	NOT_A_UNIQUE_TIMELIKE_LINE_PATH	32176
IDENTICALLY_ZERO_DPHI_INTERVAL	NO_PROPER_INTRINSIC_TEMPORAL_SUBSPACE	SCALAR_4_AMBIGUITY	NO_PHI_GRADIENT_JOIN	NOT_A_UNIQUE_TIMELIKE_LINE_PATH	9984
IDENTICALLY_ZERO_DPHI_INTERVAL	TRANSITION_OR_NUMERICALLY_UNCERTAIN	FOUR_LINES;NUMERIC_UNCERTAIN	NO_PHI_GRADIENT_JOIN	NOT_A_UNIQUE_TIMELIKE_LINE_PATH	4
IDENTICALLY_ZERO_DPHI_INTERVAL	TRANSITION_OR_NUMERICALLY_UNCERTAIN	FOUR_LINES;NUMERIC_UNCERTAIN;TWO_PLUS_TWO_LINES	NO_PHI_GRADIENT_JOIN	NOT_A_UNIQUE_TIMELIKE_LINE_PATH	20
IDENTICALLY_ZERO_DPHI_INTERVAL	TRANSITION_OR_NUMERICALLY_UNCERTAIN	FOUR_LINES;TWO_PLUS_TWO_LINES	NO_PHI_GRADIENT_JOIN	NOT_A_UNIQUE_TIMELIKE_LINE_PATH	500
IDENTICALLY_ZERO_DPHI_INTERVAL	TRANSITION_OR_NUMERICALLY_UNCERTAIN	FULL_IRREDUCIBLE_4;NUMERIC_UNCERTAIN	NO_PHI_GRADIENT_JOIN	NOT_A_UNIQUE_TIMELIKE_LINE_PATH	80
IDENTICALLY_ZERO_DPHI_INTERVAL	UNIQUE_LOCAL_UNORIENTED_TIMELIKE_LINE	FOUR_LINES	NO_PHI_GRADIENT_JOIN	NONINTEGRABILITY_OBSERVED_AT_ONE_OR_MORE_NODES	832
UNIFORMLY_SPACELIKE	LORENTZ_TWO_PLANE_ONLY	TWO_PLUS_TWO_LINES	SPACELIKE_DPHI_PRESENT__INSTRUMENT_FAMILY_DOES_NOT_ISOLATE_ITS_LINE	NOT_A_UNIQUE_TIMELIKE_LINE_PATH	2875
UNIFORMLY_SPACELIKE	NO_PROPER_INTRINSIC_TEMPORAL_SUBSPACE	FULL_IRREDUCIBLE_4	SPACELIKE_DPHI_PRESENT__INSTRUMENT_FAMILY_DOES_NOT_ISOLATE_ITS_LINE	NOT_A_UNIQUE_TIMELIKE_LINE_PATH	29260
UNIFORMLY_SPACELIKE	NO_PROPER_INTRINSIC_TEMPORAL_SUBSPACE	SCALAR_4_AMBIGUITY	SPACELIKE_DPHI_PRESENT__INSTRUMENT_FAMILY_DOES_NOT_ISOLATE_ITS_LINE	NOT_A_UNIQUE_TIMELIKE_LINE_PATH	1008
UNIFORMLY_SPACELIKE	RANK_ONE_LINE_SPACELIKE__LORENTZ_COMPLEMENT	LINE_PLUS_THREE	EXACT_PHI_SPACELIKE_DEPTH_PROJECTOR_JOIN	NOT_A_UNIQUE_TIMELIKE_LINE_PATH	2160
UNIFORMLY_SPACELIKE	TRANSITION_OR_NUMERICALLY_UNCERTAIN	FOUR_LINES;NUMERIC_UNCERTAIN	SPACELIKE_DPHI_PRESENT__INSTRUMENT_FAMILY_DOES_NOT_ISOLATE_ITS_LINE	NOT_A_UNIQUE_TIMELIKE_LINE_PATH	1
UNIFORMLY_SPACELIKE	TRANSITION_OR_NUMERICALLY_UNCERTAIN	FOUR_LINES;NUMERIC_UNCERTAIN;TWO_PLUS_TWO_LINES	SPACELIKE_DPHI_PRESENT__INSTRUMENT_FAMILY_DOES_NOT_ISOLATE_ITS_LINE	NOT_A_UNIQUE_TIMELIKE_LINE_PATH	1
UNIFORMLY_SPACELIKE	TRANSITION_OR_NUMERICALLY_UNCERTAIN	FOUR_LINES;TWO_PLUS_TWO_LINES	SPACELIKE_DPHI_PRESENT__INSTRUMENT_FAMILY_DOES_NOT_ISOLATE_ITS_LINE	NOT_A_UNIQUE_TIMELIKE_LINE_PATH	110
UNIFORMLY_SPACELIKE	TRANSITION_OR_NUMERICALLY_UNCERTAIN	FULL_IRREDUCIBLE_4;NUMERIC_UNCERTAIN	SPACELIKE_DPHI_PRESENT__INSTRUMENT_FAMILY_DOES_NOT_ISOLATE_ITS_LINE	NOT_A_UNIQUE_TIMELIKE_LINE_PATH	116
UNIFORMLY_SPACELIKE	UNIQUE_LOCAL_UNORIENTED_TIMELIKE_LINE	FOUR_LINES	SPACELIKE_DPHI_PRESENT__INSTRUMENT_FAMILY_DOES_NOT_ISOLATE_ITS_LINE	NONINTEGRABILITY_OBSERVED_AT_ONE_OR_MORE_NODES	181
UNIFORMLY_TIMELIKE	LORENTZ_TWO_PLANE_ONLY	TWO_PLUS_TWO_LINES	TIMELIKE_DPHI_PRESENT__INSTRUMENT_FAMILY_DOES_NOT_ISOLATE_ITS_LINE	NOT_A_UNIQUE_TIMELIKE_LINE_PATH	950
