catch_id	validator	rejection	result
P01_MISSING_IDENTITY	validate_state	identity count	MUTATION_REJECTED_AS_REQUIRED
P02_DUPLICATE_IDENTITY	validate_state	identity uniqueness	MUTATION_REJECTED_AS_REQUIRED
P03_FLIP_CAUSAL_CLASS	validate_state	identity census	MUTATION_REJECTED_AS_REQUIRED
P04_DROP_INTERVAL_CERTIFICATE	validate_state	interval certificate count	MUTATION_REJECTED_AS_REQUIRED
P05_PARTIAL_INTERVAL	validate_state	full interval coverage	MUTATION_REJECTED_AS_REQUIRED
P06_INVENT_INTERFACE	validate_state	interface count	MUTATION_REJECTED_AS_REQUIRED
P07_INVENT_DEGENERACY	validate_state	metric degeneracy	MUTATION_REJECTED_AS_REQUIRED
P08_STALE_PATH_JOIN	validate_state	path uniqueness	MUTATION_REJECTED_AS_REQUIRED
P09_PHYSICALIZE_BANK	validate_state	physical bank label	MUTATION_REJECTED_AS_REQUIRED
P10_DROP_SPACELIKE_JOIN	validate_state	spacelike join	MUTATION_REJECTED_AS_REQUIRED
P11_DROP_TIMELIKE_JOIN	validate_state	timelike join	MUTATION_REJECTED_AS_REQUIRED
P12_SELECT_COMPLETION	validate_state	completion selection	MUTATION_REJECTED_AS_REQUIRED
P13_IMPORT_ACTION	validate_state	action import	MUTATION_REJECTED_AS_REQUIRED
P14_ASSIGN_PHYSICAL_REGIME	validate_state	physical regime label	MUTATION_REJECTED_AS_REQUIRED
P15_MUTATE_SOURCE	validate_state	source integrity	MUTATION_REJECTED_AS_REQUIRED
P16_DISABLE_INDEPENDENT_ROUTE	validate_state	independent verification	MUTATION_REJECTED_AS_REQUIRED
P17_FALSE_CONTINUOUS_MOTIF	validate_state	continuous motif overclaim	MUTATION_REJECTED_AS_REQUIRED
P18_STALE_INDEPENDENT_JOIN	validate_state	independent spacelike join	MUTATION_REJECTED_AS_REQUIRED
P19_DROP_FROZEN_GENERATOR_PROBE	validate_state	frozen generator probe coverage	MUTATION_REJECTED_AS_REQUIRED
P20_HIDE_DEFORMATION_VECTORS	validate_state	atlas deformation vectors	MUTATION_REJECTED_AS_REQUIRED
