identity_id	bank	carrier_id	mask_id	phi_structural_bit	causal_status	gradient_status	gradient_root	metric_status	determinant_sign	s_at_u0	s_at_umid	s_at_u1	certified_interval_boxes	unresolved_boxes	maximum_subdivision_depth	certified_minimum_abs_s_lower_bound	certificate_sha256	domain_status
B0_R00_1_M0	B0	R00_1	M0	OFF	IDENTICALLY_ZERO_DPHI_INTERVAL	IDENTICALLY_ZERO		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0	0	0	0	0	0	0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	LOCAL_ANALYTIC_CHART_ONLY
B0_R00_1_M1	B0	R00_1	M1	OFF	IDENTICALLY_ZERO_DPHI_INTERVAL	IDENTICALLY_ZERO		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0	0	0	0	0	0	0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	LOCAL_ANALYTIC_CHART_ONLY
B0_R00_1_M2	B0	R00_1	M2	OFF	IDENTICALLY_ZERO_DPHI_INTERVAL	IDENTICALLY_ZERO		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0	0	0	0	0	0	0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	LOCAL_ANALYTIC_CHART_ONLY
B0_R00_1_M3	B0	R00_1	M3	OFF	IDENTICALLY_ZERO_DPHI_INTERVAL	IDENTICALLY_ZERO		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0	0	0	0	0	0	0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	LOCAL_ANALYTIC_CHART_ONLY
B0_R00_1_M4	B0	R00_1	M4	OFF	IDENTICALLY_ZERO_DPHI_INTERVAL	IDENTICALLY_ZERO		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0	0	0	0	0	0	0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	LOCAL_ANALYTIC_CHART_ONLY
B0_R00_1_M5	B0	R00_1	M5	OFF	IDENTICALLY_ZERO_DPHI_INTERVAL	IDENTICALLY_ZERO		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0	0	0	0	0	0	0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	LOCAL_ANALYTIC_CHART_ONLY
B0_R00_1_M6	B0	R00_1	M6	OFF	IDENTICALLY_ZERO_DPHI_INTERVAL	IDENTICALLY_ZERO		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0	0	0	0	0	0	0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	LOCAL_ANALYTIC_CHART_ONLY
B0_R00_1_M7	B0	R00_1	M7	OFF	IDENTICALLY_ZERO_DPHI_INTERVAL	IDENTICALLY_ZERO		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0	0	0	0	0	0	0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	LOCAL_ANALYTIC_CHART_ONLY
B0_R00_1_M8	B0	R00_1	M8	ON	UNIFORMLY_SPACELIKE	NONZERO_VECTOR_ON_PATH		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0.00040555009948829414	0.00036273191589566783	0.00031980724776446066	1	0	0	0.00013107547986142366	0f76fd55713089abe85484732d324ce36f0c2d18139a751a1b7d7e3ba9a2202f	LOCAL_ANALYTIC_CHART_ONLY
B0_R00_1_M9	B0	R00_1	M9	ON	UNIFORMLY_SPACELIKE	NONZERO_VECTOR_ON_PATH		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0.00040555009948829414	0.00036359527898177017	0.00032123653073384074	1	0	0	0.00013107393219934002	cf04b0059c9ad7ae9e5d2f6f6b4fde41d1042d6456bffda4ffa996a6ba7cf7f8	LOCAL_ANALYTIC_CHART_ONLY
B0_R00_1_MA	B0	R00_1	MA	ON	UNIFORMLY_SPACELIKE	NONZERO_VECTOR_ON_PATH		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0.00040555009948829414	0.00035296298647613549	0.0002997493049065337	1	0	0	0.00011176911392044172	e1a4631db3be95e4e66cceec9b5264b1e251ff329199d1e7546590af82546bb4	LOCAL_ANALYTIC_CHART_ONLY
B0_R00_1_MB	B0	R00_1	MB	ON	UNIFORMLY_SPACELIKE	NONZERO_VECTOR_ON_PATH		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0.00040555009948829414	0.00035382634956223784	0.00030117858787591373	1	0	0	0.00011176756625835808	dd9df44068086efc999551690909a9bddd1b83b3dd7fc9cd967fe9adec9f79c3	LOCAL_ANALYTIC_CHART_ONLY
B0_R00_1_MC	B0	R00_1	MC	ON	UNIFORMLY_SPACELIKE	NONZERO_VECTOR_ON_PATH		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0.00040555009948829414	0.00036927621927458252	0.00033335079241105729	1	0	0	0.0001309855566438309	82462b6a77f0a7e57fa185109b81d4ae3732b2e21728ec08b8209e98ec6a1861	LOCAL_ANALYTIC_CHART_ONLY
B0_R00_1_MD	B0	R00_1	MD	ON	UNIFORMLY_SPACELIKE	NONZERO_VECTOR_ON_PATH		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0.00040555009948829414	0.00037014045407820882	0.00033479302554159581	1	0	0	0.00013098433104480084	45cc071d0670780b1b5096071cba211ffbf8c8a08fa1abacf97bbe9a90dd3142	LOCAL_ANALYTIC_CHART_ONLY
B0_R00_1_ME	B0	R00_1	ME	ON	UNIFORMLY_SPACELIKE	NONZERO_VECTOR_ON_PATH		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0.00040555009948829414	0.00035950728985505018	0.00031329284955313033	1	0	0	0.00011167919070284898	ca5d71f0ebee81d06988c082531654271d99c04efc2c73cfea844b7c6b765395	LOCAL_ANALYTIC_CHART_ONLY
B0_R00_1_MF	B0	R00_1	MF	ON	UNIFORMLY_SPACELIKE	NONZERO_VECTOR_ON_PATH		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0.00040555009948829414	0.00036037152465867649	0.00031473508268366879	1	0	0	0.00011167796510381891	57772bedde5f68374ea5f4a94fe3ccbeb7bb7a2a178dbfd8f284001332e8c39c	LOCAL_ANALYTIC_CHART_ONLY
B0_R01_1_M0	B0	R01_1	M0	OFF	IDENTICALLY_ZERO_DPHI_INTERVAL	IDENTICALLY_ZERO		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0	0	0	0	0	0	0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	LOCAL_ANALYTIC_CHART_ONLY
B0_R01_1_M1	B0	R01_1	M1	OFF	IDENTICALLY_ZERO_DPHI_INTERVAL	IDENTICALLY_ZERO		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0	0	0	0	0	0	0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	LOCAL_ANALYTIC_CHART_ONLY
B0_R01_1_M2	B0	R01_1	M2	OFF	IDENTICALLY_ZERO_DPHI_INTERVAL	IDENTICALLY_ZERO		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0	0	0	0	0	0	0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	LOCAL_ANALYTIC_CHART_ONLY
B0_R01_1_M3	B0	R01_1	M3	OFF	IDENTICALLY_ZERO_DPHI_INTERVAL	IDENTICALLY_ZERO		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0	0	0	0	0	0	0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	LOCAL_ANALYTIC_CHART_ONLY
B0_R01_1_M4	B0	R01_1	M4	OFF	IDENTICALLY_ZERO_DPHI_INTERVAL	IDENTICALLY_ZERO		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0	0	0	0	0	0	0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	LOCAL_ANALYTIC_CHART_ONLY
B0_R01_1_M5	B0	R01_1	M5	OFF	IDENTICALLY_ZERO_DPHI_INTERVAL	IDENTICALLY_ZERO		ANALYTIC_COFRAME_LORENTZIAN_NONDEGENERATE	STRICTLY_NEGATIVE	0	0	0	0	0	0	0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	LOCAL_ANALYTIC_CHART_ONLY
