path	sha256	base_blob	role
udt_structural_ensemble_metric_atlas_2026-07-21/CARRIER_VECTOR_REGISTRY.tsv	b1251073a9f8e916259d29ebcae71a9b86a5f8235c3b0b581430967d6aeadbe8	d269d38d615dd17a67974c75039a1d597a9f6662	FROZEN_LOAD_BEARING_SOURCE
udt_motif_hopf_correspondence_audit_2026-07-22/COHERENT_IDENTITY_REGISTRY.tsv	ffb624d1a4e01e181639e86993a550a3030b2050c547f6e563c14a462abfe45f	0078278ae48a687629239758b2f053bf0642544f	FROZEN_LOAD_BEARING_SOURCE
udt_motif_hopf_correspondence_audit_2026-07-22/PATH_FAMILY_ATLAS.tsv.gz	5429b1e9bedfb1c857d04b6b447f89ba90bead070bc1090140593005d0a03932	2c9e161f9d4068819bbf9a69358da3c68b0b9f91	FROZEN_LOAD_BEARING_SOURCE
udt_motif_hopf_correspondence_audit_2026-07-22/verify_correspondence_independent.py	66c4ed45b0b26f84949653d05b0c2090247dedd0f9a5c7c2d045e75edfbb318f	ec47847aabcbe1c5964023b3a8890c7911f0a33d	FROZEN_LOAD_BEARING_SOURCE
udt_temporal_soldering_atlas_2026-07-22/MANIFEST.sha256	11d67cb7c09188a69e38dcc4e6b0370faa15c0ec7d72bf616e70c8c2bf21def8	cc401dd915ce49e0bc483bdfefe7be0b15edf56c	FROZEN_LOAD_BEARING_SOURCE
udt_temporal_soldering_atlas_2026-07-22/PATH_TEMPORAL_CLASSIFICATION.tsv.gz	151980e7077684bd5c728bc4a94c39af3bd96e36a6684eeb5bbdaf6f69ab0005	716f96ee17bcf53f90ce74ab96ea8b71d5d57489	FROZEN_LOAD_BEARING_SOURCE
udt_temporal_soldering_atlas_2026-07-22/CROSS_IMPLEMENTATION_LINE_COMPLETION.tsv	ade61dfc39a8d0261cea9ae0514e15817f93e51f011f139a6942a65ca2eba8d5	bc502b462eda35152b837e52a1223da96a439003	FROZEN_LOAD_BEARING_SOURCE
udt_temporal_soldering_atlas_2026-07-22/PHI_GRADIENT_SOLDERING_RESULT.json	52be8807a5242e058231239156cce3136fa0a20cd1f134f6f62cab54b4311191	5f558b2f2d2d137c560a4ba5a9c6a38654fc66aa	FROZEN_LOAD_BEARING_SOURCE
udt_temporal_soldering_atlas_2026-07-22/PHI_GRADIENT_SPACELIKE_BRANCH_RESULT.json	1f054ad1bb97417c5c87986315557e072a0fadeaee1a942c5173e29b6d0c0ab8	9887a36747388aea8310f7a6246744d2c6031b7f	FROZEN_LOAD_BEARING_SOURCE
udt_global_metric_assembly_atlas_2026-07-22/SHA256SUMS.txt	d4c7e7e16e38496343bbfbc8ef0867de45657ea2e25a724b44b653ff1b276374	54eb9b7696a9c9295ae8c6e1831293942d649c3e	FROZEN_LOAD_BEARING_SOURCE
udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	73d9f21e31d74c174dc173e03ddd27f8689c376170959d8419004f225bed73e6	ac18f8fd197d75bbde8cda6494b05a84289cd9bc	FROZEN_LOAD_BEARING_SOURCE
