object	status	scope_or_reason
reciprocal_character	DERIVED_WITH_FOUNDING_STAMPS	exact on an already supplied additive depth
abstract_ordered_comparison	DERIVED_ABSTRACT_GIVEN_DEPTH	composition reversal and identity are exact
pointwise_phi	PRESENTATION_POTENTIAL_ON_SUPPLIED_FACTORIZED_ARCHITECTURE	local reference shifts change phi while complete geometry remains fixed
global_phi_representative	NOT_FOUNDED_OR_SELECTED	global overlap leaves arbitrary representative freedom
factorization_orbit	DERIVED_REFERENCE_INDEPENDENT_PRESENTATION_CLASS	contains arbitrary positive scalar depth representatives and does not supply a clock weight
complete_physical_comparison_arrow	DERIVED_INVARIANT_UNDER_PRESENTATION_CHANGE	does not canonically decompose into reciprocal depth without owner data
stationary_Killing_depth	CONDITIONAL_BRANCH_LOCAL_METRIC_DERIVED	intrinsic Killing norm ratio composes reverses and is normalization independent
typed_path_depth	CONDITIONAL_ON_SUPPLIED_ADDITIVE_COCYCLE	path groupoid uses but does not derive depth
operational_pair_depth	CONDITIONAL_PHYSICAL_INPUT	would reduce freedom but measurement/event pairing is not founded
nonnegative_pair_magnitude	OPEN_JOIN	not identical to signed reversal-odd additive depth
c_E	OBSERVED_CALIBRATION_ANCHOR	dimension-matches clock/ruler conversion but does not select a depth profile or unit
global_local_mutual_admissibility	WORKING_MULTIBRANCH_RELATION	not yet a single-valued ownership return
two_observer_relational_depth_law	OPEN_SHARPENED_TARGET	faithful future codomain replacing an unnecessary demand for universal pointwise phi
action_source_carrier_boundary_density_Xmax_mass_dynamics	OPEN_OR_PRIOR_CONDITIONAL	unchanged
overall	VERIFIED_WITH_CAVEATS_BOUNDED_RELATIONAL_CHARACTER_AND_PRESENTATION_POTENTIAL	fresh adversary accepted the central result after one source-consistent stationary-sign repair
