route_id	candidate_owner	candidate_codomain	pre_result_question
M01	primitive_ordered_observer_pair_comparison	signed_depth	Does the founding comparison operationally return a physical signed pair depth rather than merely postulate its algebra?
M02	observer_path_groupoid_character	path_dependent_signed_depth	Does the founded character plus path query define depth without an extra connection or path-selection law?
M03	complete_metric_or_coframe_extraction	signed_depth_or_section	Can complete geometry canonically recover the reciprocal depth while surviving reference refactorization?
M04	fixed_reference_factorization	depth_section	Does the founding record physically privilege the reference coframe that would remove factorization freedom?
M05	reciprocal_plane_orientation_and_character	depth_torsor_or_section	Do the reciprocal plane, orientation, and character select a representative rather than only an action?
M06	realized_observer_query_field	operational_depth_assignment	Is the measured comparison itself a physical query field, and if so is that an explicit premise or a metric consequence?
M07	factorization_orbit_as_physical_object	equivalence_class	Is the reference-independent orbit already the complete physically meaningful founded object?
M08	finite_cell_seal_or_endpoint_normalization	normalized_depth_section	Does native finite-cell data provide a founded zero, endpoint, or normalization?
M09	c_calibration_and_reciprocity	calibrated_depth	Do the two founding postulates determine both the depth units and its observer/path assignment?
M10	global_local_mutual_admissibility	possibly_multibranch_depth_relation	Does the working bootstrap posit close ownership without a separately supplied response or selection rule?
