catch_id	mutated_target	expected	observed
C01	missing_candidate	REJECT	REJECT
C02	duplicate_candidate	REJECT	REJECT
C03	branch_killing_promoted	REJECT	REJECT
C04	orbit_promoted_to_scalar	REJECT	REJECT
C05	c_promoted_to_profile	REJECT	REJECT
C06	primary_depth_change_deleted	REJECT	REJECT
C07	independent_arrow_mutated	REJECT	REJECT
C08	depth_shift_made_vacuous	REJECT	REJECT
C09	physical_arrow_changed	REJECT	REJECT
C10	missing_base_source	REJECT	REJECT
C11	duplicate_addendum_source	REJECT	REJECT
C12	history_promoted	REJECT	REJECT
C13	missing_proposition	REJECT	REJECT
C14	conclusion_promoted	REJECT	REJECT
C15	independence_false_import	REJECT	REJECT
C16	source_overlap_control	REJECT	REJECT
C17	working_relation_promoted	REJECT	REJECT
C18	operational_input_promoted	REJECT	REJECT
C19	stationary_depth_sign_inverted	REJECT	REJECT
