premise_id	object	status_at_preregistration	allowed_role	forbidden_promotion
P01	clock_dilation_calibration_c_E	OBSERVED_ANCHOR	set comparison units or calibration	field equation or ownership selector
P02	founding_reciprocal_clock_ruler_comparison	FOUNDING_POSTULATE_TO_AUDIT	source proposition	complete physical assignment by assertion
P03	observer_frame_reciprocity	FOUNDING_POSTULATE_TO_AUDIT	source proposition	imported SR or GR observer mechanics
P04	phi_as_additive_log_depth_and_reciprocal_character	DERIVED_CURRENT	load-bearing algebraic object	independently selected physical scalar
P05	complete_coframe	DEFINED_CONFIGURATION_ARCHITECTURE	same-solution carrier of geometry	selected physical solution
P06	physical_observer_path_to_phi_ownership	OPEN	target of the audit	assumed map
P07	observer_path_query_groupoid	DERIVED_KINEMATIC_WITH_OPEN_PHYSICAL_ASSIGNMENT	domain/type control	connection dynamics or trivial holonomy
P08	fixed_reference_atlas_or_coframe	OPEN_OR_CONDITIONAL	counterfactual reduction	physical background
P09	global_local_mutual_admissibility	WORKING_POSIT	conditional relational architecture	complete bootstrap equation
P10	co_present_interpretation	WORKING_INTERPRETATION	semantic consistency check	signalling or dynamical law
P11	pre_July_1_material	PROVENANCE_FIREWALL_FAILURE_OR_COUNTEREXAMPLE_ONLY	historical clue and adversarial control	affirmative UDT physics
P12	action_source_carrier_boundary_density_Xmax_mass_dynamics	OPEN_OR_PRIOR_CONDITIONAL	out-of-scope status preservation	ownership premise or downstream result
