source_id	path	source_ref	git_blob	sha256	size	role
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	6926d6d006bbe7a55d3bce130f57000a6fd65132:CURRENT_SCIENTIFIC_PREMISES.tsv	5ada57dc46ce781b75dc5c6c8ea73e7cc40d6f62	22314b02171494235aa411fc48ab1731a21d480d30ffc5beb3b263856c1e4744	27680	current G43 precedence and exclusions
S02	udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/AUDIT_REPORT.md	6926d6d006bbe7a55d3bce130f57000a6fd65132:udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/AUDIT_REPORT.md	5edec9d069f0936f286678c6694aa1465d3f1cd8	568752d1e4d9a9c26c2eb7a7a17dd444a3be3824bedf9e6bc9d36a292c58d45f	3477	controlling alignment-bitorsor result
S03	udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXACT_DERIVATION.md	6926d6d006bbe7a55d3bce130f57000a6fd65132:udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXACT_DERIVATION.md	688656b59fd2d2883a8c5edd30ef4f2c9d895259	925ca9fce8872392240fe390f2c10ec81685fea7e289d2286b1b8d3fa49dba87	11131	bitorsor and balanced composition algebra
S04	udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/DERIVATION_RESULT.json	6926d6d006bbe7a55d3bce130f57000a6fd65132:udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/DERIVATION_RESULT.json	5665016aa8ff8ee40471cbf1430c703e35df2405	b9600babc7e36fc2d1a63aff24fac613cb679ccb35d02bcc73e10edbc3808217	1867	machine-readable G43 result
S05	udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/AUDIT_REPORT.md	6926d6d006bbe7a55d3bce130f57000a6fd65132:udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/AUDIT_REPORT.md	adc137d3a72d5772d0a468d9f9d214f7fe0f349d	85554fa11160860280c2ea7fc9415e53e59153b500cdb3ff73b637d9bc5d51c1	4773	delta_RF ownership scope
S06	udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md	6926d6d006bbe7a55d3bce130f57000a6fd65132:udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md	1b322f69194351add2da4a17ce9987c5bca4a8d1	eabfad044b0caf404a7bfab8dfa2462e3a68cf7a578e67451c86baf8b95aa71a	11710	flag density formulae
S07	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md	6926d6d006bbe7a55d3bce130f57000a6fd65132:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md	42213757bc6ea837d46d9d1d45f754bcda136627	a15c22901f5f8f9401fb53b04cff23a0b14c3c5f56ac7bb4f3b23882d247669e	4804	terminal pair-metric scope
S08	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	6926d6d006bbe7a55d3bce130f57000a6fd65132:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	aa58f76fa4758e961e133f283894a4d6414b1495	fa0e31b16df98c3af3cf4aec878c4369642945ce35de20ab8e13b91eaf135e7a	15088	terminal reciprocal readout algebra
S09	udt_branch_nonisometric_calibration_transition_audit_2026-08-10/AUDIT_REPORT.md	6926d6d006bbe7a55d3bce130f57000a6fd65132:udt_branch_nonisometric_calibration_transition_audit_2026-08-10/AUDIT_REPORT.md	1e28aa9a83d594e899df637e6f954811b4577593	231cc65aa1570fafcae2049c2b5b6fc1e254afda69ec5c0188861272ef5b0ee8	4380	R17 conditional ownership ruling
S10	udt_branch_nonisometric_calibration_transition_audit_2026-08-10/EXACT_DERIVATION.md	6926d6d006bbe7a55d3bce130f57000a6fd65132:udt_branch_nonisometric_calibration_transition_audit_2026-08-10/EXACT_DERIVATION.md	4a52ada768c25257641e01cfdc3c67b436e8ed82	30b563b30e4ab6ac2af11c77cf28d627fa8dd400f854617cb55be1177e2f723b	9329	R17 semidirect algebra
