source_id	path	role
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	current G43 precedence and exclusions
S02	udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/AUDIT_REPORT.md	controlling alignment-bitorsor result
S03	udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXACT_DERIVATION.md	bitorsor and balanced composition algebra
S04	udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/DERIVATION_RESULT.json	machine-readable G43 result
S05	udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/AUDIT_REPORT.md	delta_RF ownership scope
S06	udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md	flag density formulae
S07	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md	terminal pair-metric scope
S08	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	terminal reciprocal readout algebra
S09	udt_branch_nonisometric_calibration_transition_audit_2026-08-10/AUDIT_REPORT.md	R17 conditional ownership ruling
S10	udt_branch_nonisometric_calibration_transition_audit_2026-08-10/EXACT_DERIVATION.md	R17 semidirect algebra
S11	udt_three_observer_overlap_calibration_carry_audit_2026-08-10/EXACT_DERIVATION.md	matched carry and middle transition types
S12	udt_reciprocal_calibration_state_solder_audit_2026-08-09/AUDIT_REPORT.md	calibration-line ownership scope
S13	udt_reciprocal_calibration_state_solder_audit_2026-08-09/EXACT_DERIVATION.md	calibration density and local solder algebra
S14	udt_complete_pair_phi_orchestra_audit_2026-08-05/EXACT_DERIVATION.md	complete mixing and scalar guard
S15	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/LOOP_HOLONOMY.tsv	path-label and loop evidence
S16	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/EXACT_DERIVATION.md	intrinsic clock ruler screen ownership
