item	status	role	forbidden_promotion
reciprocal_character	DERIVED_ON_SUPPLIED_ORDERED_DEPTH	algebraic_clock_ruler_character	ambient_metric_evolution
complete_metric_history	SUPPLIED	argument_of_evaluators	selected_physical_history
pair_germ	SUPPLIED	pullback_argument	physical_population
completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	unique_positive_ruler_calibration_after_pullback	canon_or_ambient_field_equation
complete_coframe	CONDITIONAL_CONFIGURATION_ARENA	local_general_metric_chart	derived_solution_family
levi_civita_connection	DERIVED_FROM_SUPPLIED_METRIC	transport_evaluator	dynamics
cartan_bianchi_system	DERIVED_IDENTITIES_AND_REALIZATION_CONDITIONS	compatibility_of_supplied_metric_or_typed_curvature_data	value_generation
null_jacobi_system	DERIVED_CONDITIONAL_ON_METRIC_GERM_AND_INITIAL_DATA	propagation_evaluator	metric_history_equation
rank_complete_pair_network	DERIVED_CONDITIONAL_RECONSTRUCTION	reconstructs_supplied_metric_values	selects_values
c_E	OBSERVED	clock_ruler_unit_anchor	profile_or_evolution_law
G_obs	OBSERVED	potential_future_anchor	active_equation_without_typed_source
observational_values	CLOSED_FOR_G254	none	loss_function_or_fit
X_max	CLOSED_FOR_G254	open_downstream_completion_target	local_kernel_or_boundary_input
action_source_matter_bootstrap	CLOSED_FOR_G254	none	imported_closure
boundary_initial_data	NOT_SELECTED	would parameterize_a_closed_problem	used_to_create_missing_equations
analytic_control_functions	FREE_AND_EXPLORED	counterfamily_only	physical_ansatz
coordinate_and_frame_gauge	DERIVED_EQUIVALENCE	quotient_only	physical_selection
