candidate	classification_if_frozen_sources_confirm	counts_as_history_equation
metric_pullback_h_equals_JTgJ	definition_or_evaluator	no
completed_pair_m_equals_sqrt_minus_det_h	query_calibration_solution	no
completed_Phi_equals_minus_half_log_minus_h00	readout	no
Levi_Civita_metricity_and_zero_torsion	connection_definition	no
Cartan_structure_equations	connection_curvature_definition	no
Bianchi_and_Ricci_commutator	geometric_identity_or_compatibility	no
Jacobi_equation_on_supplied_null_germ	propagation_evaluator	no
pair_reversal_and_endpoint_composition	relation_identity_on_supplied_values	no
rank_complete_network_existence	reconstruction_condition	no
independently_owned_C_of_g_equals_zero	nonidentity_history_restriction	yes
independently_owned_global_G_of_g_and_R_equals_zero	nonidentity_global_relation_restriction	yes
observational_loss_or_fit	forbidden_G254_import	no
Einstein_or_chosen_action_equation	forbidden_G254_import	no
