object	status	claim	scope_or_owner
finite_relational_position	CHOSE_WORKING_AND_DERIVED_DOWNSTREAM	rho_equals_Xmax_tanh_phi_pair	G137_supplied_regular_complete_pair
proper_length_join	OPEN	not_owned_by_G137	future_constitutive_or_derived_join
rest_space_vector_lift	DEFINED_SUPPLIED_CONDITIONAL	boldxi_equals_rho_n	G147_not_spacetime_displacement
metric_ruler_vector	DERIVED	r_equals_L_n	supplied_pair_metric
metric_ruler_coframe	DERIVED	theta1_equals_L_dsigma	supplied_pair_metric
finite_chord_ruler_equality	CONDITIONAL_NOT_NATIVE_JOIN	rho_equals_epsilon_L	G152_special_calibrated_branch_only
position_differential	DERIVED_ON_SUPPLIED_SMOOTH_FAMILY	drho_equals_u_rho_theta0_plus_n_rho_theta1	exact_pair_frame_identity
temporal_response	DERIVED_ON_SUPPLIED_HISTORY	u_rho_equals_tanh_phi_u_Xmax_plus_Xmax_sech2_phi_u_phi	full_nonlinear_first_differential
spatial_response	DERIVED_ON_SUPPLIED_HISTORY	n_rho_equals_tanh_phi_n_Xmax_plus_Xmax_sech2_phi_n_phi	full_nonlinear_first_differential
fixed_Xmax_response	CONDITIONAL_SUBCASE	d_Xmax_zero	not_assumed_generically
common_scale	LIVE_RETAINED	response_coefficients_inverse_scale_and_coframes_direct_scale	no_strong_local_CSN
spatial_unit_ruler_identification	OPTIONAL_NOT_ADOPTED	n_rho_equals_epsilon	would_join_relational_increment_to_metric_proper_ruler
full_one_form_ruler_identification	OPTIONAL_NOT_ADOPTED	u_rho_zero_and_n_rho_equals_epsilon	stronger_stationary_local_isometry
physical_history_query_family	OPEN	required_to_evaluate_response_globally	future_program
Xmax_value_and_global_completion	OPEN	not_derived	future_program
