id	class	free_extension_parameters	status	premises	conclusion
E01	FOUNDED_TWO_CHANNEL_SUBGROUP	0	DERIVED	Reciprocal-c;dual_Reciprocity;regular_additive_composition;sign_and_unit_convention	P(phi)=diag(exp(-phi),exp(phi))
E02	GENERAL_TRIANGULAR_COMPLETE_COFRAME_EXTENSION	7	DERIVED_CLASSIFICATION	fixed_E01_base_generator;registered_positive_triangular_chart	three_angular_generator_and_four_base-angular_mixing_parameters_remain
E03	DETERMINANT_ONE_EXTENSION	6	DERIVED_CLASSIFICATION	E02;complete_coframe_determinant_one	angular_trace_removed_only
E04	TRANSVERSE_METRIC_INVARIANT_EXTENSION	4	DERIVED_CLASSIFICATION	E02;unchanged_positive_angular_metric_in_triangular_section	angular_generator_zero;four_mixing_parameters_remain
E05	NO_BASE_ANGULAR_MIXING_EXTENSION	3	DERIVED_CLASSIFICATION	E02;zero_metric_cross_block	four_mixing_parameters_zero;three_angular_parameters_remain
E06	DIRECT_SUM_SPECTATOR_EXTENSION	0	DERIVED_EXACT_WITNESS	E02;transverse_metric_invariance;no_base-angular_mixing	diag(exp(-phi),exp(phi),1,1);unique_only_in_this_stronger_class
E07	RECIPROCAL_ANGULAR_COUNTERFAMILY	1	DERIVED_EXACT_COUNTERMODEL	E03;aligned_diagonal_angular_axes	diag(exp(-phi),exp(phi),exp(-k_phi),exp(k_phi));refutes_unconditional_spectator_uniqueness
E08	SHIFT_MIXING_COUNTERFAMILY	1	DERIVED_EXACT_COUNTERMODEL	E03;one_lower_base-angular_generator	lower_shift=s(1-exp(-phi));refutes_unconditional_spectator_uniqueness
E09	PHYSICAL_METRIC_READING	7	OPEN_SELECTION	E02;common_scale_physical	foundation_does_not_select_one_extension
E10	CONFORMAL_CLASS_READING	6	CONDITIONAL_OPEN_SELECTION	E03;strong_local_CSN_supplied	CSN_removes_angular_trace_only_not_remaining_extension
E11	LOCAL_LORENTZ_QUOTIENT	-	OPEN	coframe_representatives_modulo_local_Lorentz	chart_extension_does_not_yet_descend_to_unique_physical_operation
E12	PROFILE_PATH_BOUNDARY_GLOBAL_EXTENSION	-	OPEN	physical_observer_pair_assignment;phi_profile;connection;finite_cell_completion	pointwise_extension_class_does_not_supply_global_solution
