candidate_id	path	git_blob	sha256	size_bytes	phi_line_count	concept_line_count	source_status	selection_basis	primary_ruling	affected	disputed_claim_or_scope	mathematical_result_effect	future_correction_action	ruling_evidence
AR0001	AGENTS.md	973cfe03644203a6eb37eec162c3a4b76755a772	d602c3acbbe137f09ad1a6a8fa536c96535699db98a95b3f275fb4280a715757	15222	2	8	CONTROL_OR_FOUNDATION	MANDATORY_CONTROL_OR_FOUNDATION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0002	CANON.md	a67e518b623c8715679b26d5736c7409e3ffcae3	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	35011	70	76	CONTROL_OR_FOUNDATION	MANDATORY_CONTROL_OR_FOUNDATION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0003	CLAUDE.md	d4b22bd7c8a69706e3ef1ba6fec3c27bf1d74956	bff8de2d8c0b539b80ea97ef64d2801438a88cb8480073d173b94c85ce651492	24410	5	10	CONTROL_OR_FOUNDATION	MANDATORY_CONTROL_OR_FOUNDATION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0004	HANDOFF.md	073b8a5b7ff78135baef0499834521854588a06e	7edd92d43e14f9dfeddcf6885f42644bdaddfd9cf3cf5b81091fa76989551a57	54086	40	49	CONTROL_OR_FOUNDATION	MANDATORY_CONTROL_OR_FOUNDATION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0005	INDEX.md	b762ab7da792943d1a842b0cacb5c67cdeba7182	e4563cced47a11527de63b9d0a3a82b0b658be27d5c61927601818fdec495798	29666	17	21	CONTROL_OR_FOUNDATION	MANDATORY_CONTROL_OR_FOUNDATION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0006	LIVE.md	7ea1595a50c153164aa10fcc4871127eda5ae5ba	6686a790ec32ca9fe42de5927858c44a1801c38cc5ad955cdabd98321dc1324e	102245	72	80	CONTROL_OR_FOUNDATION	MANDATORY_CONTROL_OR_FOUNDATION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0007	MEMORY.md	2dd5709c124f01470b2de89275fb96376a853ac1	5c523fbe045ebc8ae035427ce06ba012a468386e39c18a02d04966ad3e2fb18b	6267	6	8	CONTROL_OR_FOUNDATION	MANDATORY_CONTROL_OR_FOUNDATION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0008	NEGATIVES_REGISTRY.md	71c7cae1f659c40636537db211311f8bdb972025	981786b260b2671fdd66638b4b64d9c40a0994c1a1e09bb33f461751593d7cdc	164174	148	157	CONTROL_OR_FOUNDATION	MANDATORY_CONTROL_OR_FOUNDATION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0009	README.md	657ec2dc148293f59d4a43207845b66bc7283026	fa6dd88d3ec63667071cfddcc785f00c0c6f4c0f6b94c685ed26674c6a627d27	9703	5	6	CONTROL_OR_FOUNDATION	MANDATORY_CONTROL_OR_FOUNDATION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
AR0010	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	7c59d775e473df5ea0b59ec0c20312ac7fccfbee	db4a426b021e375fa4bca0d870aaf973de319de3b08072195d001a056630832d	11205	3	3	CONTROL_OR_FOUNDATION	MANDATORY_CONTROL_OR_FOUNDATION	UNRELATED_PHI_USAGE	NO	No load-bearing assertion that phi is an undefined placeholder or an eleventh native pointwise metric mode.	UNCHANGED	None.	ACTIVE_RESULT_CANDIDATES.tsv
