premise	status	provenance	role	uncovered_scope
one_complete_solution_referent	CHOSE_WORKING	owner_concept_formalized_here	semantic_definition	ontology_not_derived
smooth_time_oriented_lorentzian_metric	CONDITIONAL_PINNED_BY_HABIT	bounded_mathematical_class	causal_geometry	degenerate_signature_change_pregeometry
positive_common_scale_factor	PINNED_BY_THEORY	CSN_nondegenerate_representative_change	conformal_test	zero_or_sign_changing_scale
reciprocal_static_radial_block	CONDITIONAL	post_July_verified_chain	optical_algebra	dynamic_nonradial_multiscale_realization
static_flow_and_radial_chart	PINNED_BY_HABIT	bounded_slice	optical_coordinate	general_time_live_cosmology
metric_scalar_principal_operator	IMPORTED_COMPARISON_READOUT	standard_covariant_operator	cone_characteristic_check	native_material_equation
retarded_intervention_rule	POSIT_CONSISTENCY_OBLIGATION	causal_accessibility_hypothesis	no_signalling_test	complete_dynamics_and_coupling
preferred_foundational_time	REJECTED_AS_UNREGISTERED	none	would_be_extra_structure	premetric_speed_undefined
photon_source_absorber_relation	WORKING_INTERPRETATION	owner_picture_refined	lay_ontology_candidate	photon_and_matter_ontology_open
pre_scale_post_scale_hierarchy	CANDIDATE_ARCHITECTURE	this_preregistration	selector_test	unique_bridge_not_assumed
