claim_id	claim	status	scope_or_premise	blocking_open_item
C01	co_presence_means_shared_event_domain_membership_in_one_whole_solution	WORKING	S_equals_M_g_Phi_etc_and_p_q_in_M_S	ordinary_block_universe_semantics_not_UDT_selector
C02	co_presence_assigns_no_zero_duration_or_propagation_speed	DERIVED	definition_K0	whether_definition_is_adopted
C03	positive_common_scale_rescaling_preserves_causal_vector_types	DERIVED	smooth_Omega_positive_same_time_orientation	degenerate_or_signature_changing_regimes
C04	event_relative_causal_reachability_depends_on_conformal_class_not_scale_representative	DERIVED	fixed_topology_and_time_orientation	global_causality_conditions_for_partial_order
C05	geometric_proper_intervals_need_a_representative_and_physical_calibration_needs_material_rules	DERIVED	metric_kinematics_plus_open_operational_coupling	bootstrap_representative_and_material_transformation
C06	reciprocal_static_null_slope_is_c0_N_squared	CONDITIONAL	static_radial_adapted_NB_equals_1	universal_line_and_dynamic_realization
C07	reciprocal_optical_coordinate_obeys_dchi_equals_dr_over_N_squared	CONDITIONAL	static_radial_adapted_chart	general_nonradial_time_live_realization
C08	static_chart_null_coordinate_interval_is_optical_distance_over_c0_not_zero	CONDITIONAL	static_reciprocal_slice	null_proper_time_is_zero_and_detector_clock_time_needs_worldline_lapse
C09	global_solution_membership_does_not_imply_causal_comparability	DERIVED	explicit_timelike_null_spacelike_counterexamples	none_within_registered_class
C10	global_boundary_retuning_is_not_by_itself_a_local_retarded_signal	DERIVED	both_are_counterfactual_solution_comparisons_but_hold_different_data_fixed	localized_admissible_intervention_definition
C11	metric_cone_alone_is_insufficient_to_prove_material_no_signalling	DERIVED	countermodels_require_principal_symbol_hyperbolicity_data_and_coupling	complete_action_and_source_for_positive_theorem
C12	controllable_influence_is_restricted_to_metric_causal_future	POSIT	causal_accessibility_consistency_obligation	native_dynamical_derivation
C13	source_and_detector_event_labels_can_belong_to_one_global_solution	WORKING	conditional_endpoint_interpretation	physical_signal_path_photon_and_matter_ontology
C14	if_a_signal_follows_the_static_metric_null_characteristic_E_is_its_associated_emission_event	CONDITIONAL	static_radial_comparison	unique_path_cosmological_time_live_and_material_coupling
C15	remote_same_chart_time_source_state_is_not_observed_now	CONDITIONAL	static_chart_illustration	observer_independent_remote_present_definition
C16	causal_cone_does_not_select_second_versus_fourth_derivative_order	DERIVED	Q_and_Q_squared_countermodel	complete_variational_selector
C17	causal_cone_does_not_select_lower_order_action_or_coupling_terms	DERIVED	Q_and_Q_plus_m_squared_countermodel	complete_variational_selector
C18	pre_scale_conformal_then_post_scale_representative_is_compatible	CONDITIONAL	positive_scale_preserves_cones	bootstrap_map
C19	two_stage_bridge_is_uniquely_derived	REJECTED_AS_INFERENCE	countermodels_defeat_uniqueness	bridge_existence_and_form_remain_open
C20	copresence_is_unique_to_UDT	REJECTED_AS_INFERENCE	ordinary_Lorentzian_global_solution_countermodel	UDT_specific_reciprocal_content
C21	literal_infinite_foundational_speed_is_required	REJECTED_AS_INFERENCE	no_premetric_time_or_distance_registered	possible_future_pregeometry
C22	instantaneous_electron_identity_swap_is_derived	REJECTED_AS_INFERENCE	no_native_matter_or_photon_ontology	native_source_absorber_theory
C23	complete_action_native_source_boundary_charge_and_mass	OPEN	preserved_from_final_adjudication	missing_native_dynamics
C24	CMB_scale_profile_substrate_and_recycling	OPEN	outside_registered_static_kinematic_slice	time_live_cosmology_and_source_dynamics
