gate	failure_mutation	required_result
G00	source_manifest_hash_drift	REJECT
G01	regular_invertible_response_called_source_erasing	REJECT
G02	strong_shear_limit_called_physically_selected	REJECT
G03	caustic_or_fold_called_derived_from_regular_G68	REJECT
G04	branch_family_summed_or_averaged_without_owner	REJECT
G05	G68_called_strongly_kaleidoscopic	REJECT
G06	G68_psi_identified_with_image_rotation	REJECT
G07	physical_CMB_source_or_observable_promoted	REJECT
G08	Xmax_SNe_or_bootstrap_used_as_selector	REJECT
G09	missing_or_duplicate_G68_control	REJECT
G10	unoriented_directional_limit_called_source_amplitude_independent	REJECT
G11	global_nonconstant_sky_claimed_from_constant_scalar_pullback	REJECT
