item	status	scope_or_caveat
ordered clock/ruler channel and dual pairing	POSIT	founding presentation
reciprocal exponential character on supplied depth	DERIVED	continuous one-parameter representation
c_E clock/ruler calibration anchor	OBSERVED	calibration; not path or branch selector
regular timelike pair immersion F	SUPPLIED_CONDITIONAL	physical realization owner remains open
E_pair=dF(TSigma)	DERIVED_CONDITIONAL	after F is supplied
H_pair=E_pair_perp positive rank two	DERIVED_CONDITIONAL	Lorentzian ambient and timelike F
complete pair pullback h=F*g	DERIVED	metric-natural evaluator on supplied F
reduced Gram formula h_reduced=B^TetaB+C^TqC	DERIVED_CONDITIONAL	declared local split and invertible Y
Gram image equals PSD(2)	DERIVED	pointwise zero-order image
individual B S Q Y Z blocks	PRESENTATION_DEPENDENT	only completed h is invariant
terminal kappa phi beta and c_eff_pair/c_E	DERIVED_CONDITIONAL	A-calibrated Lorentzian pair metric
universal physical delta equals phi_pair	OPEN_CONDITIONAL	requires physical relation ownership and compatible calibration carry
c_eff_pair as local material signal speed	NOT_DERIVED	geometric observer-pair readout only
II and normal connection	DERIVED_CONDITIONAL_FROM_IMMERSION_JETS	not determined by h alone
Jacobi and focusing channels	DERIVED_CONDITIONAL_FROM_GEODESIC_VARIATION_AND_CURVATURE	require query-owned congruence data
holonomy channels	DERIVED_CONDITIONAL_FROM_CONNECTION_AND_PATH_DATA	require supplied paths or loops
global Phi from edge phi_AB	OPEN_CONDITIONAL	requires matched calibration and zero scalar periods
physical history query immersion and branch	OPEN	flat F_k family blocks inference from bare observers
X_max SNe CMB bootstrap action source matter dynamics	OPEN_INACTIVE	not selected or tested by this ponder
package status	PONDER_WORKING_SYNTHESIS	no new derivation or physical verdict
