original_path	current_path	fixed_snapshot_owner	fixed_snapshot_evidence	effective_primary_owner	operator_provenance	imported_action_or_coupling	comparison_readout	role	scientific_lifecycle	path_migration_safety	scientific_family	adjudication_source	review_status
.gitattributes	.gitattributes	CONTROL_ROOT	PERMANENT_CONTROL_REGISTRY+R0_CONTROL	CONTROL_ROOT	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:RETAIN_ROOT	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
.gitignore	.gitignore	CONTROL_ROOT	PERMANENT_CONTROL_REGISTRY+R0_CONTROL	CONTROL_ROOT	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:RETAIN_ROOT	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
AGENTS.md	AGENTS.md	CONTROL_ROOT	PERMANENT_CONTROL_REGISTRY+R0_CONTROL	CONTROL_ROOT	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:RETAIN_ROOT	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
AUDIT.md	AUDIT.md	CROSS_LANE_SHARED	R1B_ACTIVE_CROSS_ERA+MULTI_LANE_PROVENANCE	CROSS_LANE_SHARED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:RETAIN_ROOT	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
A_pre_reconciliation_floored_glm.pt	A_pre_reconciliation_floored_glm.pt	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:BLOCKED	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
B_floored_glm.pt	B_floored_glm.pt	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:BLOCKED	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
CANON.md	CANON.md	CONTROL_ROOT	PERMANENT_CONTROL_REGISTRY+R0_CONTROL	CONTROL_ROOT	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:RETAIN_ROOT	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
CLAUDE.md	CLAUDE.md	CONTROL_ROOT	PERMANENT_CONTROL_REGISTRY+R0_CONTROL	CONTROL_ROOT	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:RETAIN_ROOT	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
CODEX_STARTUP_REHEARSAL_2026-07-17.md	CODEX_STARTUP_REHEARSAL_2026-07-17.md	CONTROL_ROOT	PERMANENT_CONTROL_REGISTRY+R0_CONTROL	CONTROL_ROOT	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:RETAIN_ROOT	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
COGNITIVE_CORRAL_TRIGGERS_SETUP.md	COGNITIVE_CORRAL_TRIGGERS_SETUP.md	CONTROL_ROOT	PERMANENT_CONTROL_REGISTRY+R0_CONTROL	CONTROL_ROOT	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:RETAIN_ROOT	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
CROSS_MODEL_VERIFY.md	CROSS_MODEL_VERIFY.md	CONTROL_ROOT	PERMANENT_CONTROL_REGISTRY+R0_CONTROL	CONTROL_ROOT	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:RETAIN_ROOT	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
D1_FIX_DESIGN.md	D1_FIX_DESIGN.md	LEGACY_FROZEN	R1B_INDIVIDUAL_HISTORICAL_OR_FROZEN_RULING	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:POINTER_MIGRATION_REQUIRED	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
E2b_A1Z1_P2_C1_plateau.pt	E2b_A1Z1_P2_C1_plateau.pt	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:BLOCKED	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
E2b_A1Z1_P2_C1_wall.pt	E2b_A1Z1_P2_C1_wall.pt	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:BLOCKED	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
E2b_A1Z1_P2_C2_plateau.pt	E2b_A1Z1_P2_C2_plateau.pt	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:BLOCKED	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
