current_path	primary_owner	migration_readiness	blocking_or_change_requirement	inbound_dependency_categories	inbound_dependency_sources	unresolved_dynamic_touches	recommended_destination_if_migrated
.gitattributes	CONTROL_ROOT	RETAIN_ROOT	ROOT_CONTROL_OR_SHARED_INTERFACE	NONE	NONE	0	-
.gitignore	CONTROL_ROOT	RETAIN_ROOT	ROOT_CONTROL_OR_SHARED_INTERFACE	TEXT_REFERENCE	LIVE.md;codex_rehearsal_transcript.txt;noNull_boundary_virial_results.md	0	-
AGENTS.md	CONTROL_ROOT	RETAIN_ROOT	ROOT_CONTROL_OR_SHARED_INTERFACE	MARKDOWN_LINK;TEXT_REFERENCE	CODEX_STARTUP_REHEARSAL_2026-07-17.md;README.md;REORGANIZATION_R0_PREREG_2026-07-18.md;UDT_F_POSTRETURN_AUDIT_AND_CODEX_TRANSITION_DISPATCH.md;UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md;codex_rehearsal_final.md;codex_rehearsal_transcript.txt;native_action_sync_audit_2026-07-17/round2_transcript.txt	0	-
AUDIT.md	CROSS_LANE_SHARED	RETAIN_ROOT	ROOT_CONTROL_OR_SHARED_INTERFACE	TEXT_REFERENCE	AUDIT.md;CANON.md;HANDOFF_ARCHIVE.md;STATE.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_2026-07-06_EOD1_readout_provenance_arc.md;archive/LIVE_historical_frontier_through_2026-07-08.md;archive/RECON_A_cosmology.md;archive/macro_contamination_map.md;archive/udt_active_results.md;grok/quarantine_free_DA/macro_sector_fork_resolution.md;legacy/root_oneoffs_2026-07-01/native_weld_status_derivation.py;macro_spine_provenance_2026-07-06.md;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt;pre_native_era_census.md;rescued_workspaces/2026-06-11/tmp_loose_scripts/s74_004_retire.py;rescued_workspaces/2026-06-11/tmp_loose_scripts/s74_claude_insert.py;rescued_workspaces/2026-06-11/tmp_loose_scripts/s85_002_extract.py;rescued_workspaces/2026-06-11/tmp_loose_scripts/s85_002_migrate.py;udt_canonical_geometry.md;weld_status_results.md	8	-
A_pre_reconciliation_floored_glm.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	NONE	NONE	0	-
B_floored_glm.pt	LEGACY_FROZEN	BLOCKED	OWNERSHIP_OR_OPAQUE_DATA_UNRESOLVED	NONE	NONE	0	-
CANON.md	CONTROL_ROOT	RETAIN_ROOT	ROOT_CONTROL_OR_SHARED_INTERFACE	MANIFEST;MARKDOWN_LINK;STARTUP;TEXT_REFERENCE	AGENTS.md;CLAUDE.md;F2_closure_results.md;F2_matter_action_forcedness_results.md;F4_seal_boundary_MAP.md;F5_critical_universe_closure_results.md;F7_scale_bridge_native_results.md;F8_metric_choices_results.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;H4_N5_whole_cell_criticality_MAP.md;H4_backreaction_mass_MAP.md;HANDOFF.md;HANDOFF_ARCHIVE.md;INDEX.md;LIVE.md;MATTER_SECTOR_MAP_new_foundation.md;NEGATIVES_REGISTRY.md;README.md;REORGANIZATION_R0_PREREG_2026-07-18.md;STATE.md;UDT_F_POSTRETURN_AUDIT_AND_CODEX_TRANSITION_DISPATCH.md;UDT_H3_BOUNDARY_AUDIT_PATCH_THEN_F_DISPATCH.md;UDT_H3_BOUNDARY_VIRIAL_CLOSURE_BEFORE_F_DISPATCH.md;UDT_H3_CORRECTED_G_THEN_F_SEQUENCING_DISPATCH.md;UDT_NATIVE_ACTION_ARM_C_INPUT_SHA256SUMS_2026-07-18.txt;UDT_NATIVE_ACTION_COLD_PACKET.md;UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md;UDT_NATIVE_ACTION_STAGE2_A1_A6_SHA256SUMS_2026-07-18.txt;UDT_NATIVE_ACTION_STAGE2_LAUNCH_RECORD_2026-07-18.md;UDT_NATIVE_ACTION_STAGE2_RETURN_2026-07-18.md;UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md;UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md;UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md;UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_stability_stageD_microphysics_arc_2026-07-03_04.md;archive/LIVE_stage2_static_arc_2026-07-06.md;archive/LIVE_universe_cell_ladder_arc_2026-07-02.md;archive/M10_M11_object_identity_closure_results.md;archive/RECON_D_canon_negatives_weaknesses.md;archive/REORG_PLAN.md;archive/VISION_POST_POSTULATE.md;archive/macro_contamination_map.md;archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_DIMENSIONLESS_ACTION_REFERENCE_BRANCH_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_DIMENSIONLESS_ACTION_REFERENCE_BRANCH_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_GLOBAL_SCALE_SELECTION_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_GLOBAL_SCALE_SELECTION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_ONE_MASS_GLOBAL_CALIBRATION_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_ONE_MASS_GLOBAL_CALIBRATION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_DEEP_POSITIONAL_RELATIVITY_POSTULATE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_DILATION_SUBSTRATE_ACTION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_ELECTRON_CALIBRATION_BRIDGE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_ELECTRON_CALIBRATION_BRIDGE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_MUTUAL_DILATION_RESISTANCE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_QUADRATIC_DILATION_COST_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_LOOP_CLOSURE_MATTER_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_LOOP_CLOSURE_MATTER_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_OFFSHELL_PROVENANCE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_SCAFFOLD_NATIVE_ACTION_SEPARATION_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_SCAFFOLD_NATIVE_ACTION_SEPARATION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_SOLUTION_SPACE_CLOSURE_VERIFY_DISPATCH.md;archive/theta_bc_provenance_results.md;archive/w8_catalog_problem.md;codex_rehearsal_transcript.txt;grok/quarantine_free_DA/macro_sector_fork_resolution.md;i_flow_hbar_clock_MAP.md;legacy/root_oneoffs_2026-07-01/topo_doubling_fork.py;macro_universe_native_MAP.md;matter_carrier_provenance_audit_results.md;microphysics_after_concentric_failure_MAP.md;microphysics_reentry_omega_reframe_MAP.md;n5d_stage2_MS_boundary_selector_audit_results.md;native_action_arm_c_2026-07-18/ARM_C_RETURN/RECEIVED_ARM_C_INPUT_SHA256SUMS.txt;native_action_arm_c_2026-07-18/LAUNCH_SCRIPT.sh;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv;native_action_stage1_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage1_2026-07-18/arm_A/cold_output/UDT_NATIVE_ACTION_COLD_PACKET.md;native_action_stage1_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt;native_action_stage1_2026-07-18/arm_B/cold_output/UDT_NATIVE_ACTION_COLD_PACKET.md;native_action_stage2_2026-07-18/arm_A/D6_RETURN/D6.md;native_action_stage2_2026-07-18/arm_A/D6_RETURN/D6_DISCLOSURE_CENSUS.tsv;native_action_stage2_2026-07-18/arm_A/D6_RETURN/RECEIVED_A1_A6_SHA256SUMS.txt;native_action_stage2_2026-07-18/arm_A/LAUNCH_PROMPT.txt;native_action_stage2_2026-07-18/arm_A/LAUNCH_SCRIPT.sh;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/D6_RETURN/D6.md;native_action_stage2_2026-07-18/arm_B/D6_RETURN/D6_DISCLOSURE_CENSUS.tsv;native_action_stage2_2026-07-18/arm_B/D6_RETURN/RECEIVED_A1_A6_SHA256SUMS.txt;native_action_stage2_2026-07-18/arm_B/LAUNCH_PROMPT.txt;native_action_stage2_2026-07-18/arm_B/LAUNCH_SCRIPT.sh;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt;native_action_sync_audit_2026-07-17/round1_transcript.txt;native_action_sync_audit_2026-07-17/round2_transcript.txt;native_action_sync_audit_2026-07-17/round3_transcript.txt;native_action_sync_audit_2026-07-17/round4_transcript.txt;native_action_sync_audit_2026-07-17/round5_transcript.txt;native_action_sync_audit_2026-07-17/round6_final.md;native_action_sync_audit_2026-07-17/round6_transcript.txt;native_action_sync_audit_2026-07-17/round7_final.md;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_final.md;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_final.md;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt;native_hopfion_route_MAP.md;node05_seal_parity_regrade_results.md;node_H1_hopfion_compactification_results.md;ponder_emergence_directions_2026-07-04.md;regrade_S2_defect_2026-07-04.md;scale_symmetry_bootstrap_analysis_results.md;simple_metric_L_wall_regularity_closure_results.md;winding_amplitude_gauge_derivation_results.md	0	-
CLAUDE.md	CONTROL_ROOT	RETAIN_ROOT	ROOT_CONTROL_OR_SHARED_INTERFACE	FILE_PATH;STARTUP;TEXT_REFERENCE	.claude/hooks/corral_trigger.py;AGENTS.md;CLAUDE.md;COGNITIVE_CORRAL_TRIGGERS_SETUP.md;HANDOFF.md;HANDOFF_ARCHIVE.md;INDEX.md;LIVE.md;N5d_solver_build_plan.md;NEGATIVES_REGISTRY.md;PURSUIT_CHARTER_2026-07-04.md;REORGANIZATION_R0_PREREG_2026-07-18.md;SOLVER_INTEGRITY_UPGRADES_SPEC.md;STATE.md;STRUCTURE_HYGIENE.md;UDT_F_POSTRETURN_AUDIT_AND_CODEX_TRANSITION_DISPATCH.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md;archive/LIVE_stage2_static_arc_2026-07-06.md;archive/RECON_C_session.md;archive/RECON_D_canon_negatives_weaknesses.md;archive/REORG_PLAN.md;archive/complete_metric_sweep_setup.md;archive/depth_selector_VERIFIER.md;archive/depth_selector_breather_results.md;archive/ens_scan_results.md;archive/ens_scan_verifier_results.md;archive/fourth_component_sourced_results.md;archive/gravity_sector_local_reduction_results.md;archive/offdiagIII_results.md;archive/pre_2026-07-01/p1_offdiag_wiring_results.md;archive/pre_native_coupled/SOLVER_AUDIT_2026-06-29.md;archive/sealed_cavity_s2_results.md;archive/sparc_native_force_law_note.md;archive/udt_active_results.md;archive/udt_native_phi_law_MAP_results.md;archive/udt_validated_results.md;archive/w8_catalog_problem.md;archive/w_stiffness_push_declaration.md;archive/whole_metric_solve_MAP.md;codex_rehearsal_transcript.txt;cognitive_corral_triggers_results.md;derived_background_and_phi_coupling_DESIGN.md;export_for_local_llm.py;legacy/root_oneoffs_2026-07-01/native_weld_interface_mode_spectrum.py;legacy/root_oneoffs_2026-07-01/native_weld_status_derivation.py;legacy/root_oneoffs_2026-07-01/offdiagIII_converge.py;legacy/root_oneoffs_2026-07-01/topo_classes_zoo.py;legacy/root_oneoffs_2026-07-01/topo_doubling_fork.py;legacy/root_oneoffs_2026-07-01/w3_dressed_spectra.py;legacy/root_oneoffs_2026-07-01/w4a_p1_existence.py;legacy/root_oneoffs_2026-07-01/w4a_p2_spectra.py;legacy/root_oneoffs_2026-07-01/w4b_evolib.py;legacy/root_oneoffs_2026-07-01/w5_arm2_lib.py;ns_scan_results.md;p2_matter_fullmetric_results.md;p2_operator_from_action_results.md;p3_discipline_skills_results.md;p5_live_state_shrink_results.md;rescued_workspaces/2026-06-11/tmp_loose_scripts/agent_j_quick.py;rescued_workspaces/2026-06-11/tmp_loose_scripts/audit_r2.py;rescued_workspaces/2026-06-11/tmp_loose_scripts/s74_004_retire.py;rescued_workspaces/2026-06-11/tmp_loose_scripts/s74_claude_insert.py;rescued_workspaces/2026-06-11/tmp_loose_scripts/s74_wind_down_handoff_startup.py;rescued_workspaces/2026-06-11/tmp_loose_scripts/verify_alpha6.py;simple_metric_session_self_audit_2026-07-09.md;stability_branch_follow_256_DECISION.md;threadB_WORKSTATION_DISPATCH.md;udt_canonical_geometry.md;udt_gravity_sector_rederivation_results.md	0	-
CODEX_STARTUP_REHEARSAL_2026-07-17.md	CONTROL_ROOT	RETAIN_ROOT	ROOT_CONTROL_OR_SHARED_INTERFACE	NONE	NONE	0	-
COGNITIVE_CORRAL_TRIGGERS_SETUP.md	CONTROL_ROOT	RETAIN_ROOT	ROOT_CONTROL_OR_SHARED_INTERFACE	STARTUP;TEXT_REFERENCE	.claude/hooks/corral_trigger.py;CLAUDE.md;cognitive_corral_triggers_results.md;export_for_local_llm.py;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt;pre_native_era_census.md	0	-
