current_path	artifact_type	first_commit_date	last_commit_date	physics_status_source	frozen_manifest_status	runtime_import_test_dependencies	primary_owner	secondary_consumers	ownership_evidence	current_frontier_target
.gitattributes	OTHER	2026-07-17	2026-07-18	NO_EXPLICIT_PHYSICS_STATUS_SOURCE	NOT_FROZEN_OR_MANIFEST	NONE	CONTROL_ROOT	NONE	PERMANENT_CONTROL_REGISTRY+R0_CONTROL	NO
.gitignore	OTHER	2026-06-10	2026-07-10	LIVE.md:100	NOT_FROZEN_OR_MANIFEST	NONE	CONTROL_ROOT	PARTICLE_MASS	PERMANENT_CONTROL_REGISTRY+R0_CONTROL	YES
AGENTS.md	MARKDOWN	2026-07-17	2026-07-17	SELF_STATUS_BANNER:AGENTS.md	NOT_FROZEN_OR_MANIFEST	NONE	CONTROL_ROOT	NATIVE_ACTION	PERMANENT_CONTROL_REGISTRY+R0_CONTROL	NO
AUDIT.md	MARKDOWN	2026-06-15	2026-07-06	CANON.md:63	REFERENCED_BY_SIX_FROZEN_PACKAGES	NONE	CROSS_LANE_SHARED	FOUNDATIONS;MACRO	R1B_ACTIVE_CROSS_ERA+MULTI_LANE_PROVENANCE	NO
A_pre_reconciliation_floored_glm.pt	OPAQUE_DATA	2026-07-01	2026-07-01	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
B_floored_glm.pt	OPAQUE_DATA	2026-07-01	2026-07-01	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
CANON.md	MARKDOWN	2026-06-10	2026-07-09	LIVE.md:486;HANDOFF.md:82,123,134;INDEX.md:55,66,105;NEGATIVES_REGISTRY.md:181;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md:254;native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv:7	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	MANIFEST[5]=UDT_NATIVE_ACTION_ARM_C_INPUT_SHA256SUMS_2026-07-18.txt;UDT_NATIVE_ACTION_STAGE2_A1_A6_SHA256SUMS_2026-07-18.txt;native_action_arm_c_2026-07-18/ARM_C_RETURN/RECEIVED_ARM_C_INPUT_SHA256SUMS.txt;native_action_stage2_2026-07-18/arm_A/D6_RETURN/RECEIVED_A1_A6_SHA256SUMS.txt;native_action_stage2_2026-07-18/arm_B/D6_RETURN/RECEIVED_A1_A6_SHA256SUMS.txt	CONTROL_ROOT	FOUNDATIONS;MACRO;NATIVE_ACTION;PARTICLE_MASS	PERMANENT_CONTROL_REGISTRY+R0_CONTROL	YES
CLAUDE.md	MARKDOWN	2026-06-10	2026-07-10	LIVE.md:17,21;HANDOFF.md:122;INDEX.md:54,99,107;NEGATIVES_REGISTRY.md:10	NOT_FROZEN_OR_MANIFEST	FILE_PATH[1]=rescued_workspaces/2026-06-11/tmp_loose_scripts/s74_claude_insert.py	CONTROL_ROOT	FOUNDATIONS;MACRO;NATIVE_ACTION;PARTICLE_MASS	PERMANENT_CONTROL_REGISTRY+R0_CONTROL	YES
CODEX_STARTUP_REHEARSAL_2026-07-17.md	MARKDOWN	2026-07-17	2026-07-17	SELF_STATUS_BANNER:CODEX_STARTUP_REHEARSAL_2026-07-17.md	R0_FROZEN_EVIDENCE	NONE	CONTROL_ROOT	NONE	PERMANENT_CONTROL_REGISTRY+R0_CONTROL	NO
COGNITIVE_CORRAL_TRIGGERS_SETUP.md	MARKDOWN	2026-06-27	2026-06-27	SELF_STATUS_BANNER:COGNITIVE_CORRAL_TRIGGERS_SETUP.md	REFERENCED_BY_SIX_FROZEN_PACKAGES	NONE	CONTROL_ROOT	NONE	PERMANENT_CONTROL_REGISTRY+R0_CONTROL	NO
CROSS_MODEL_VERIFY.md	MARKDOWN	2026-06-23	2026-06-23	SELF_STATUS_BANNER:CROSS_MODEL_VERIFY.md	NOT_FROZEN_OR_MANIFEST	NONE	CONTROL_ROOT	NONE	PERMANENT_CONTROL_REGISTRY+R0_CONTROL	NO
D1_FIX_DESIGN.md	MARKDOWN	2026-06-29	2026-07-06	SELF_STATUS_BANNER:D1_FIX_DESIGN.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	R1B_INDIVIDUAL_HISTORICAL_OR_FROZEN_RULING	NO
E2b_A1Z1_P2_C1_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2_C1_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2_C2_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2_C2_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2_W1_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2_W1_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2_W2_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2_W2_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2_W3_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2_W3_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2_W4_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2_W4_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2_W5_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2_W5_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2_W6_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2_W6_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2b_wideguard_W4_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:microphysics_E2b_A1Z1_results.md	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z1_P2c_extended_W5_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:microphysics_E2b_A1Z1_results.md	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2_C1_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2_C1_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2_C2_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2_C2_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2_W1_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2_W1_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	FILE_PATH[1]=microphysics_E2_bv_c1c.py	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2_W2_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2_W2_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2_W3_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2_W3_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2_W4_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2_W4_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2_W5_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2_W5_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2_W6_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2_W6_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A1Z8_P2b_wideguard_W6_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_C1_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_C1_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_C2_plateau.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
E2b_A3Z1_P2_C2_wall.pt	OPAQUE_DATA	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
