premise_id	premise	status	role
P01	founded_reciprocal_pair_and_additive_phi	pinned-by-THEORY	abstract two-channel group coordinate and character
P02	declared_clock_ruler_metric_readout	pinned-by-THEORY_with_recorded_readout	local aligned pair interpretation
P03	complete_Lorentzian_metric	free-and-explored	physical geometric arena supplied per branch
P04	ordered_observer_ruler_pair_and_path	free-and-explored_as_query	input labels not fields
P05	screen_weight_lambda	OPEN	unselected complete lift modulus
P06	physical_signed_depth_assignment	OPEN	missing metric-native arrow functional
P07	complete_global_branch_boundary_topology	OPEN	unselected completion and boundary data
P08	admissible_variation_domain	OPEN	audit target not assumed
P09	c_E_and_G_obs	pinned-by-OBSERVATION	scalar calibration anchors
P10	strong_local_CSN	inactive_challenged	not a selector
P11	carrier_source_density_action	OPEN_or_CONDITIONAL	excluded downstream physics
P12	independent_scalar_atlas	pinned-by-HABIT_comparison_only	not native ontology
