catch_id	corruption_that_must_fail
C01	missing configuration object
C02	duplicate variation candidate
C03	founded phi promoted to independent native scalar field
C04	ordered observer pair promoted to physical field without selector
C05	path label promoted to physical field without selector
C06	lambda promoted to local variational field
C07	lambda_one declared selected or universal
C08	screen rotation promoted to physical metric degree of freedom
C09	angular or mixing metric slots removed from the open variation domain
C10	complete topology treated as ordinary infinitesimal bulk variation
C11	relational scaffold called selected complete physical configuration
C12	response or action inferred from ontology typing
C13	propagating mode count inferred from pointwise ownership
C14	single lift and pair family declared incompatible despite exact lambda_one stratum relation
C15	independent atlas scalar promoted to native field
C16	carrier source or density inserted into current founded domain
C17	missing depth functional hidden by treating abstract phi as spacetime assignment
C18	missing global branch or boundary hidden
C19	production and independent relation mismatch
C20	source identity corruption
