object_id	object	primary_class	variation_status	ruling	missing_gate
O01	complete_Lorentzian_metric_g	PHYSICAL_CONFIGURATION_ARENA	OPEN_RETAIN_FULL_DELTA_G	The complete Lorentzian metric is the physical geometric arena, but its founded global branch is not selected.	complete founded extension and global completion
O02	complete_finite_cell_domain_boundary_topology	OPEN_GLOBAL_CONFIGURATION_DATA	OPEN_GLOBAL_DATA	Finite-cell domain, topology, seams, and boundary belong to a complete configuration only after selection.	global branch and boundary rule
O03	coordinate_chart	PRESENTATION_GAUGE	GAUGE_NOT_INDEPENDENT	Coordinate charts present one metric and are not extra physical fields.	none within metric covariance
O04	orthonormal_coframe	PRESENTATION_GAUGE	GAUGE_NOT_INDEPENDENT	A coframe is a metric presentation unless a separate physical coframe law is derived.	no separate coframe law
O05	angular_and_pair_screen_metric_components	PHYSICAL_METRIC_CONTENT	OPEN_RETAIN_WITHIN_DELTA_G	Angular and pair-screen components are components of the complete metric and cannot be dropped by an unselected lift.	native restriction or complete founded lift
O06	abstract_founded_phi	DERIVED_ABSTRACT_KINEMATICS	NOT_INDEPENDENT_NATIVE_VARIATION	Founded phi is the additive reciprocal group coordinate, not by itself a spacetime scalar field.	physical signed-depth assignment
O07	physical_signed_depth_assignment_delta	OPEN_RELATIONAL_FUNCTIONAL	INDUCED_IF_FUNCTIONAL_DERIVED	A physical arrow-to-depth map is missing; its metric variation would be induced only after derivation.	metric-native signed-depth functional
O08	ordered_observer_ruler_pair_u_n	RELATIONAL_QUERY_LABEL	QUERY_CHANGE_NOT_PHYSICAL_VARIATION	The ordered observer and ruler specify which comparison is asked.	separate promotion law if made a field
O09	comparison_path_gamma	RELATIONAL_QUERY_LABEL	QUERY_CHANGE_NOT_PHYSICAL_VARIATION	A path labels a relational comparison and can distinguish holonomy classes.	physical path/event-pairing rule
O10	metric_path_geometry_U_M_holonomy	DERIVED_GIVEN_INPUT_RELATIONAL	INDUCED_READOUT	Metric distance, transport, Jacobi map, and holonomy follow from supplied g and path.	supplied complete metric and path
O11	reciprocal_family_X_lambda_u_n	CONDITIONAL_RELATIONAL_REPRESENTATION	INDUCED_IF_INPUTS_SUPPLIED	X_lambda is an endomorphism family over ordered pair data, not an additional spacetime field.	ordered pair plus selected lambda
O12	screen_weight_lambda	OPEN_REPRESENTATION_PARAMETER	NOT_AUTHORIZED_LOCAL_FIELD	Lambda labels the unresolved screen response; scanning it does not make lambda(x) dynamical.	native screen-response selector
O13	screen_rotation_omega_or_oriented_screen_basis	PRESENTATION_GAUGE	GAUGE_NOT_INDEPENDENT	Screen orientation drops out of scalar-screen X_lambda and is SO(2) coframe gauge.	none for X_lambda
O14	democratic_1plus3_lift_X_1	CONDITIONAL_SPECIAL_STRATUM	NOT_SELECTED_STRATUM	At lambda=1 the pair-indexed family collapses to the direction-independent clock-versus-all-space lift.	lambda selection and global timelike-line data
O15	complete_branch_label	GLOBAL_SECTOR_LABEL	SECTOR_LABEL_NOT_BULK_TANGENT	Completion branches and topology label globally distinct sectors, not ordinary local tangent directions.	global completion classification and transition law
O16	boundary_embedding_and_boundary_data	OPEN_GLOBAL_BOUNDARY_DATA	OPEN_BOUNDARY_VARIATION	Boundary embedding and boundary data may be fixed or varied, but current authority does not decide.	native boundary and variation rule
O17	observational_anchors_c_E_G_obs	FIXED_CALIBRATION_ANCHOR	FIXED_ANCHOR_NOT_VARIED	Measured c_E and G_obs calibrate physical units and are not configuration fields in this audit.	none
O18	carrier_source_mass_density_fields	ABSENT_DOWNSTREAM_PHYSICS	ABSENT_FROM_CURRENT_DOMAIN	Carrier, source, mass, and density are open or conditional and cannot be inserted into the founded metric domain.	native matter/source derivation
O19	offshell_response_or_action	ABSENT_DOWNSTREAM_PHYSICS	DOWNSTREAM_NOT_DOMAIN	Response or action acts on a selected domain and is not itself a configuration variable.	selected domain then native response
O20	independent_atlas_scalar_phi_slot	COMPARISON_ONLY_NONNATIVE	COMPARISON_ONLY	The expanded independent scalar atlas is a comparison configuration, not a second native phi field.	explicit replacement of current premise precedence
